Tarifpunkt,IBNR,Bahnhofstatus,Verbund,Regionen,Gleichstellung zu beachten
Saal(Donau),5238,NAST,,314,
Saalburg(Taunus),3445,NAST,RMV,380,
Saalfeld(Saale),10309,HAST,VMT,"1322,1323,1324,1325",
Saarbrücken-Burbach,5243,NAST,SVV,388,*
Saarbrücken Hbf,323,HAST,SVV,"387,388,376,158",*
Saarbrücken Ost,5241,NAST,SVV,387,*
Saarburg(Bz Trier),5245,NAST,VRT,186,
Saarhölzbach,5246,NAST,SVV,186,
Saarlouis Hbf,5247,NAST,SVV,171,
Saarmund,12845,NAST,VBB,1118,
Saasen,5249,NAST,RMV,329,
Saatel,12827,NAST,,8,
Sachsen(b Ansbach),5250,NAST,VGN,10,
Sachsendorf(Calbe),12830,NAST,MAR,1007,
Sachsenhausen(Nordb),12831,NAST,VBB,1034,
Sachsenheim,5253,NAST,VVS,162,
Sagard,12832,NAST,,1091,
Sagehorn,5256,NAST,VBN,37,
Salach,5258,NAST,VVS,427,
Salem,4029,NAST,BOD,485,
Sallach,5259,NAST,,61,
Salmtal,5260,NAST,VRT,296,
Salzbergen,5262,NAST,,334,
Salzburg Aiglhof,5271,NAST,,47,*
Salzburg Hbf,5263,HAST,,47,*
Salzburg-Liefering,5267,NAST,,47,*
Salzburg Mülln-Alt.,5273,NAST,,47,*
Salzburg-Taxham Euro,5266,NAST,,47,*
Salzgitter-Bad,5265,NAST,VRB,121,*
Salzgitter-Immendorf,5269,NAST,VRB,121,*
Salzgitter-Lebenstdt,5270,NAST,VRB,121,*
Salzgitter-Ringelh.,325,AST,VRB,"370,121",*
Salzgitter-Thiede,5274,NAST,VRB,121,*
Salzgitter-Watenst.,5275,NAST,VRB,121,*
Salzkotten,5276,NAST,HST,160,
Salzwedel,10310,AST,,"68,365",
Samtens,12835,NAST,,1091,
Sand(Niederbay),5279,NAST,,48,
Sandbach(Niederbay),5280,NAST,VLP,473,
Sande,5282,NAST,,416,
Sanderbusch,5285,NAST,,416,
Sandersdorf(Oberpf),5286,NAST,,12,
Sandersleben(Anh),10311,AST,MAR,"454,1064,1006",
Sandförde,12839,NAST,,1003,
Sandhagen(b Bad Dob),12840,NAST,VVW,1212,
Sandkrug,5287,NAST,VBN,396,
Sandwehle,5288,NAST,SHT,1,
Sangerhausen,10312,AST,,"1072,1064,1081,1067",
Sanitz(b Rostock),12841,NAST,VVW,1236,
Sanssouci,5289,NAST,VRL,232,
Sarstedt,5292,NAST,GVH,69,
Sasbach a. K.,5300,NAST,RVF,29,
Sassenroth,5293,NAST,VRM,274,
Sassnitz,12843,NAST,,1091,
Sassnitz(Gr),10313,NAST,,1091,
Sassnitz Fährhafen,12844,NAST,,1091,
Satteldorf,5297,NAST,VSH,346,
Sättelstädt,12826,NAST,VMT,327,
Satzvey,5298,NAST,VRS,450,
Sauerlach,5299,NAST,MVV,264,
Saulgrub,5302,NAST,,125,
Saulheim,4352,NAST,RNN,156,
Schafbrücke,5306,NAST,SVV,387,*
Schaffhausen,24,AST,,"330,606",
Schafhausen(Württ),5310,NAST,VVS,3,
Schäftersheim,5305,NAST,,346,
Schaidt(Pfalz),5309,NAST,KVV,198,
Schalchen,5312,NAST,,49,
Schalding,5313,NAST,VLP,473,
Schalkau,12852,NAST,,1312,
Schalkau Mitte,12854,NAST,,1312,
Schalksmühle,5316,NAST,VRL,90,
Schalkstetten,5323,NAST,DIN,427,
Schallstadt,5317,NAST,RVF,26,
Schambach,5318,NAST,,12,
Schameder,5319,NAST,VGW,218,
Schandelah,5320,NAST,VRB,227,
Scharbeutz,5321,NAST,SHT,304,
Scharfenstein,12853,NAST,VMS,1361,
Scharmede,5322,NAST,HST,160,
Scharstorf,12856,NAST,VVW,395,
Schauenstein,5326,NAST,VGN,145,
Schechen,5327,NAST,MVV,264,
Scheeßel,5330,NAST,HVV,39,
Scheidegg,5331,NAST,BOD,412,
Scheidt(Saar),5332,NAST,SVV,387,*
Schelklingen,5333,NAST,DIN,399,
Schemmerberg,5334,NAST,DIN,399,
Schenkenzell,5335,NAST,VGF,206,
Scheppach,5329,NAST,HNV,243,
Scherfede,5336,NAST,HST,128,
Scheßlitz,5337,NAST,VGN,491,
Scheuerfeld(Sieg),5338,NAST,VRM,271,
Scheven,5339,NAST,VRS,450,
Schieder,5340,NAST,OWL,38,
Schierbrok,5343,NAST,VBN,326,
Schierstedt,12862,NAST,MAR,1019,
Schiesshüttenäcker,5351,NAST,KVV,255,
Schifferstadt,326,AST,VRN,"133,262,422",
Schifferstadt Süd,5345,NAST,VRN,262,
Schiffweiler,5346,NAST,SVV,158,
Schiltach,5350,NAST,VVR,206,*
Schiltach Mitte,5347,NAST,VVR,206,*
Schimborn,5348,NAST,VAB,455,*
Schirgisw-Kirschau,12864,NAST,VON,298,
Schirnding,5352,NAST,VGN,139,
Schkeuditz,12865,NAST,MDV,433,
Schkeuditz West,12863,NAST,MDV,433,
Schkopau,12867,NAST,MDV,1041,
Schladen(Harz),5355,NAST,VRB,129,
Schladern(Sieg),5356,NAST,VRS,270,
Schlatt(Hohenz),5358,NAST,NAL,399,
Schleibr. Nord-Süd,5385,NAST,SHT,288,
Schleife,12870,NAST,VON,447,
Schleswig,5362,NAST,SHT,289,
Schliengen,5364,NAST,RVL,26,
Schlierbach(Sch Ed),5365,NAST,NVV,217,
Schloß Holte,5369,NAST,OWL,238,
Schluchsee,5371,NAST,RVF,21,
Schlüchtern,891,NAST,RMV,343,
Schmachtenhagen,10319,NAST,VBB,1034,
Schmalkalden,10315,NAST,,45,*
Schmalkalden-Fachhs.,12881,NAST,,45,*
Schmalnau,5374,NAST,RMV,16,
Schmidtheim,5378,NAST,VRS,450,
Schmiechen,5379,NAST,DIN,399,
Schmiechen(Schwab),5381,NAST,AVV,310,
Schmilka-Hirschm,12888,NAST,VVO,1332,
Schmölln(Ol),12890,NAST,VON,298,
Schmölln(Thür),12889,NAST,MDV,477,
Schnabelwaid,328,NAST,VGN,314,
Schnaittach Markt,5383,NAST,VGN,314,
Schneeberg(Mark),12895,NAST,VBB,1065,
Schneeberg(Odenwald),5386,NAST,VAB,157,
Schnega,5384,NAST,,365,
Schneidhain,3425,NAST,RMV,228,
Schnelldorf,5388,NAST,VGN,109,
Schneverdingen,5390,NAST,HVV,41,
Schney,5391,NAST,VGN,356,
Schnitzmühle,5380,NAST,WBV,107,
Schoden-Ockfen,5392,NAST,VRT,186,
Schöllkrippen,5414,NAST,VAB,455,
Schöna,12898,NAST,VVO,1332,
Schöna(Gr),10316,AST,,1332,
Schonach,6740,NAST,VSB,206,
Schönau(Hörsel),12899,NAST,VMT,327,
Schönau(Schwarzw),5398,NAST,RVL,26,
Schönberg(Meckl),12902,NAST,,1002,
Schönberg(Nbay),417,NAST,,117,
Schönberg(Vogtl),10317,NAST,VVV,480,
Schönbichl,6751,NAST,VVT,79,
Schönborn(Doberl),12903,NAST,VBB,1158,
Schondorf(Bay),5417,NAST,,134,
Schönebeck(Elbe),10318,AST,MAR,"352,1105,1080",
Schönebeck-Bad Salz,12907,NAST,MAR,1105,
Schönebeck-Felgel,13465,NAST,MAR,1080,
Schönebeck-Frohse,12904,NAST,MAR,352,
Schönebeck Süd,12906,NAST,MAR,1105,
Schöneck(Vogtl),12908,NAST,VVV,403,
Schöneck-Büdesheim,1248,NAST,RMV,380,
Schöneck Ferienpark,10326,NAST,VVV,403,
Schöneck-Kilianst.,3255,NAST,RMV,380,
Schöneck-Oberdorfel,4523,NAST,RMV,380,
Schönefeld (b.Bln.),10109,HAST,VBB,1118,*
Schönerlinde,12910,NAST,VBB,1034,
Schönewörde,5405,NAST,VRB,365,
Schönfließ,11577,NAST,VBB,1034,
Schongau,5418,NAST,,136,
Schöngeising,5406,NAST,MVV,650,
Schönhausen(Elbe),10321,NAST,,1123,
Schöningen,5407,NAST,VRB,123,
Schönmünzach,5409,NAST,VGF,188,
Schönow(Uckermark),12918,NAST,VBB,1122,
Schönsee(Oberpf),5411,NAST,,418,
Schönstedt,12919,NAST,,1088,
Schonungen,5400,NAST,,19,
Schönwald(Oberfr),5412,NAST,VGN,145,
Schönwalde(Barnim),12920,NAST,VBB,1034,
Schönwalde(Spreew),12923,NAST,VBB,1070,
Schönwald i Schw,6739,NAST,VSB,206,
Schopfheim,5420,NAST,RVL,26,
Schopfheim-Schlatth.,5426,NAST,RVL,26,
Schopfheim West,5425,NAST,RVL,26,
Schopfloch(Freudst),5421,NAST,VGF,266,
Schopfloch(Mittelfr),5422,NAST,VGN,2,
Schopp,5423,NAST,VRN,253,
Schöppenstedt,5413,NAST,VRB,123,
Schorndorf,5424,NAST,VVS,553,
Schortens-Heidmü,2695,NAST,,416,
Schötmar,5415,NAST,OWL,99,
Schramberg,5429,NAST,VVR,206,
Schrezheim,5431,NAST,OAM,2,
Schrobenhausen,5432,NAST,,310,
Schrozberg,5433,NAST,VSH,346,
Schülldorf,5435,NAST,SHT,288,
Schüptitz,12927,NAST,,268,
Schüttorf,5436,NAST,,334,
Schwaan,10322,NAST,VVW,1340,
Schwäb.Hall-Hessent,330,AST,VSH,"243,404,543",
Schwabach,5439,NAST,VGN,6,
Schwabach-Limbach,5440,NAST,VGN,6,
Schwabhausen(b Dach),5442,NAST,MVV,264,
Schwäbisch Gmünd,329,AST,OAM,"402,553",*
Schwäbisch Hall,5449,NAST,VSH,243,
Schwabmünchen,5444,NAST,AVV,20,
Schwabsberg,5445,NAST,OAM,2,
Schwaig,5451,NAST,VGN,314,
Schwaigen,5452,NAST,,265,
Schwaigern(Württ),5453,NAST,HNV,131,
Schwaigern West,5450,NAST,HNV,131,
Schwaikheim,5454,NAST,VVS,554,
Schwalbach(Ts)Limes,5455,NAST,RMV,380,
Schwalbach(Ts)Nord,5456,NAST,RMV,380,
Schwallungen,12929,NAST,,5,
Schwalmstadt-Wiera,6401,NAST,NVV,284,
Schwandorf,27,HAST,VLC,"418,407,127",
Schwanheide,12933,NAST,,1345,
Schwante,12934,NAST,VBB,1358,
Schwarmstedt,5457,NAST,,104,
Schwarzach(b Nabb),5460,NAST,,418,
Schwarzburg,12937,NAST,VMT,1052,
Schwarzenbach(b Pre),5465,NAST,,314,
Schwarzenbach(Saale),5466,NAST,VGN,145,
Schwarzenbach a Wald,5463,NAST,VGN,145,
Schwarzenbek,5468,NAST,HVV,14,
Schwarzenberg,6715,NAST,VGF,188,
Schwarzenberg(Erzg),10323,NAST,VMS,35,
Schwarzenberg Hp,12938,NAST,VMS,35,
Schwarzenberg-Neuw,12939,NAST,VMS,35,
Schwarzenfeld(Opf),5469,NAST,,418,
Schwarzenhammer,5470,NAST,VGN,145,
Schwarzheide Ost,12941,NAST,VBB,374,
Schwarzhofen,5474,NAST,,418,
Schwarzkollm,12942,NAST,VVO,447,
Schwedt(Oder),12943,NAST,VBB,1122,
Schwedt(Oder)Mitte,12944,NAST,VBB,1122,
Schweich(DB),5476,NAST,VRT,296,
Schweighofen,5387,NAST,VRN,198,
Schweikershain,12946,NAST,VMS,60,
Schweinfurt Hbf,32,HAST,,"19,343,57",
Schweinfurt Mitte,5479,NAST,,19,
Schweinfurt Stadt,5481,NAST,,19,
Schweinsburg-Culten,12947,NAST,VMS,477,
Schweinsdorf,5485,NAST,VGN,82,
Schwelbel,5486,NAST,VRM,272,
Schwelm,33,AST,VRR,"256,226,203",
Schwelm West,5488,NAST,VRR,256,
Schwendi,5487,NAST,DIN,399,
Schwenningen(Bay),5489,NAST,,115,
Schwenningen(Neckar),5490,NAST,VSB,206,*
Schwerin-Görries,10325,NAST,,1033,*
Schwerin Hbf,10324,HAST,,"1033,1342",*
Schwerin Mitte,12940,NAST,,1033,*
Schwerin Süd,12951,NAST,,1033,*
Schwerte(Ruhr),37,HAST,VRL,"233,236",
Schwerte-Ergste,1836,NAST,VRL,233,
Schwetzingen,5494,NAST,VRN,74,
Schwetzingen-Hirsch.,5493,NAST,VRN,74,
Schwindegg,5495,NAST,,264,
Schwörstadt,5497,NAST,RVL,330,
Sebnitz(Gr),12958,NAST,,1096,
Sebnitz(Sachs),12959,NAST,VVO,1096,
Sechshelden,5498,NAST,RMV,274,
Sechtem,5499,NAST,VRS,471,
Seckach,42,AST,VRN,"465,469,157",
Seddin,13492,NAST,VBB,1111,
Sedlitz Ost,10183,NAST,VBB,448,
Seebach(Mühlhausen),12961,NAST,,1088,
Seebergen,12965,NAST,VMT,484,
Seebrugg,5502,NAST,RVF,21,
Seefeld(Mark),12966,NAST,VBB,1034,
Seefeld-Hechendorf,5504,NAST,MVV,91,
Seeg,5505,NAST,,59,
Seegefeld,12980,NAST,VBB,1031,
Seehausen(Altm),12967,NAST,,1132,
Seehausen(Uckermark),12968,NAST,VBB,1122,
Seeleiten-Berggeist,5506,NAST,,125,
Seelow(Mark),12973,NAST,VBB,1034,
Seelow-Gusow,11788,NAST,VBB,1034,
Seelze,5507,NAST,GVH,104,
Seerhausen,12975,NAST,VVO,478,
Seesen,43,AST,VRB,"338,419,364",
Seeshaupt,5508,NAST,MVV,91,
Seestetten,5509,NAST,VLP,473,
Sehlem(Kr Wittlich),5510,NAST,VRT,296,
Sehma,12976,NAST,VMS,1361,
Sehnde,5511,NAST,GVH,81,
Seiboldsdorf,5512,NAST,,140,
Seifen(Schwab),5513,NAST,,412,
Seitschen,12981,NAST,VON,1044,
Selbitz,5520,NAST,VGN,145,
Selb Nord,5516,NAST,VGN,145,
Selb-Plößberg,5518,NAST,VGN,145,
Selb-Plößberg(Gr),5519,NAST,,145,
Selb Stadt,5517,NAST,VGN,145,
Selhausen,4973,NAST,,472,
Seligenstadt(b Wü),5523,NAST,VVM,57,
Seligenstadt(Hess),5522,NAST,RMV,424,
Sellstedt,5524,NAST,VBN,126,
Selm,5525,NAST,VRL,151,
Selm-Beifang,5526,NAST,VRL,151,
Seltendorf,12984,NAST,,1312,
Senden,5532,NAST,DIN,409,
Senden-Bösensell,1065,NAST,VGM,464,
Senftenberg,10327,AST,VBB,"448,374",
Sengenthal,5533,NAST,VGN,314,
Sennfeld,5536,NAST,VRN,278,
Serrig,5539,NAST,VRT,186,
Sersheim,5540,NAST,VVS,162,
Seubersdorf,5543,NAST,VGN,314,
Seulberg,5544,NAST,RMV,380,
Seulbitz,5545,NAST,VGN,145,
Seußen,5546,NAST,VGN,139,
Seybothenreuth,5547,NAST,VGN,421,
Siebeldingen-Birkw.,5551,NAST,VRN,253,
Siedlinghausen,5555,NAST,VRL,260,
Siegburg/Bonn,5556,AST,VRS,270,
Siegelsdorf,5557,NAST,VGN,57,
Siegen-Geisweid,3018,NAST,VGW,273,*
Siegen Hbf,46,HAST,VGW,"272,273,274",*
Siegen-Weidenau,3020,NAST,VGW,273,*
Siegsdorf,5559,NAST,,140,
Sierksdorf,5561,NAST,SHT,304,
Siersburg,5562,NAST,SVV,172,
Siershahn,60,AST,,321,
Siglingen,5566,NAST,HNV,278,
Sigmaringen,69,AST,NAL,"485,362,399",
Sigmaringendorf,5568,NAST,NAL,362,
Silbach,5569,NAST,VRL,260,
Silberhausen,12993,NAST,,1088,
Silberhütte,5570,NAST,,153,
Silberstraße,12996,NAST,VMS,179,*
Simbach(Inn),72,AST,VRI,309,
Simmelsdorf-Hüttenb,5572,NAST,VGN,314,
Simtshausen,5573,NAST,RMV,202,
Sindelfingen,5574,NAST,VVS,470,*
Sindorf,5575,NAST,VRS,300,
Singen(Hohentwiel),73,HAST,VHB,"485,200,606",
Singen(Thür),12998,NAST,VMT,484,
Singen Industriegeb.,5564,NAST,VHB,485,
Singen Landesgarten,5560,NAST,VHB,200,
Singlis,5576,NAST,NVV,217,
Sinn,5577,NAST,RMV,698,
Sinsheim(Elsenz) Hbf,5578,NAST,VRN,131,
Sinsheim Museum/Aren,5567,NAST,VRN,131,
Sinzheim,5587,NAST,KVV,681,*
Sinzheim Nord,5588,NAST,KVV,681,*
Sinzig(Rhein),5580,NAST,VRM,222,
Sinzing,5581,NAST,,314,*
Sipplingen,5582,NAST,BOD,485,
Sitzendorf-Unterw,13000,NAST,VMT,1052,
Soest,76,AST,VRL,"215,155,221",
Sohl,13002,NAST,VVV,268,
Sohland,13003,NAST,VON,298,
Solingen Grünewald,5597,NAST,VRR,256,*
Solingen Hbf,87,HAST,VRR,"256,213,90",*
Solingen Mitte,5598,NAST,VRR,256,*
Solingen-Schaberg,5590,NAST,VRR,256,*
Solingen Vogelpark,6714,NAST,VRR,90,*
Söllingen(b Karlsr),5585,NAST,KVV,100,
Söllingen(Braunsch),5584,NAST,VRB,123,
Sollstedt,13004,NAST,,1318,
Solms,5592,NAST,RMV,698,
Solnhofen,5593,NAST,VGN,314,
Solpke,13005,NAST,,1030,
Soltau(Han),88,AST,HVV,"390,104,9,41",
Soltau Nord,5594,NAST,HVV,41,
Soltendieck,5596,NAST,,365,
Sömmerda,10328,AST,VMT,"384,249,1066",
Sondern,5600,NAST,VGW,31,
Sondernach,5601,NAST,DNG,399,
Sondernheim,5602,NAST,KVV,262,
Sondershausen,10329,AST,,"1318,358",*
Sonneberg(Thür)Hbf,13008,AST,VGN,"1312,360,1310",*
Sonneberg(Thür)Nord,13009,NAST,,1310,*
Sonneberg(Thür)Ost,13010,NAST,,1310,*
Sonneberg(Thür)West,13011,NAST,,1312,*
Sontheim(Schwab),5607,NAST,,413,
Sontheim-Brenz,5608,NAST,HTV,115,
Sonthofen,5609,NAST,,412,
Sontra,5610,NAST,NVV,293,
Sophienthal,5612,NAST,,425,
Sörup,5586,NAST,SHT,288,
Sottrum,5613,NAST,VBN,37,
Soyen,5614,NAST,MVV,264,
Spaichingen,5616,NAST,TUT,206,
Spaichingen Mitte,5617,NAST,TUT,206,*
Sparneck,5621,NAST,VGN,145,
Spay,5622,NAST,VRM,311,
Speele,5623,NAST,NVV,476,
Speicher,5624,NAST,VRT,296,
Speikern,5625,NAST,VGN,314,
Speyer Hbf,5628,NAST,VRN,262,*
Speyer Nord-West,5626,NAST,VRN,262,*
Spich,5629,NAST,VRS,90,
Spiegelau,5630,NAST,WBV,107,
Spieka,5631,NAST,,34,
Spielberg,5632,NAST,KVV,255,
Sponholz,13017,NAST,,1206,
Spremberg,10330,NAST,VBB,447,
Sprendlingen(Rheinh),5637,NAST,RNN,156,
Springe,5638,NAST,GVH,69,
Sprötze,5640,NAST,HVV,39,
Stade,89,AST,HVV,"34,126",
Stadtallendorf,5661,NAST,RMV,284,
Stadthagen,5662,NAST,,25,
Stadtilm,13023,NAST,VMT,484,
Stadtoldendorf,5665,NAST,VSN,112,
Stadtprozelten,5666,NAST,VAB,157,
Stadtroda,13025,NAST,VMT,1306,
Stadt Wehlen(Sachs),13022,NAST,VVO,1331,
Staffel,5668,NAST,RMV,320,
Staffelbach,5669,NAST,VGN,19,
Stahringen,5671,NAST,VHB,485,
St Alban,5639,NAST,,134,
Stambach,5673,NAST,VRN,253,
Stammbach,5674,NAST,VGN,145,
Stapelburg,13432,NAST,,1020,
Starnberg,5676,NAST,MVV,91,
Starnberg Nord,5675,NAST,MVV,91,
Staßfurt,10332,NAST,MAR,1105,
Stauchitz,13029,NAST,VVO,478,
Staudach-Grassau,5677,NAST,,318,
Staudernheim,5678,NAST,RNN,437,
Staufen,5680,NAST,RVF,26,
Staufen Süd,5681,NAST,RVF,26,
St Blasien,6735,NAST,WTV,21,
Stederdorf(Kr Uelz),5682,NAST,,365,
Stegenwaldhaus,5686,NAST,VGN,145,
St Egidien,10331,AST,VMS,"432,33",
Stein(Traun),5687,NAST,,49,
Steina,13033,NAST,MDV,60,
Steinach(Baden),5688,NAST,TGO,206,
Steinach(b Rothenb),91,AST,VGN,"82,101,57,92",
Steinach(Thür),13034,NAST,,1310,
Steinach(Thür)Süd,13036,NAST,,1310,
Steinalben,5689,NAST,VRN,253,
Steinau(Straße),5690,NAST,RMV,343,
Steinbach a Wald,5692,NAST,VGN,145,
Steinbach-Hallenberg,13037,NAST,,45,
Steinebach,5699,NAST,MVV,91,
Steinefrenz,5700,NAST,,320,
Steinen,5701,NAST,RVL,26,
Steinfeld(Oldb),5703,NAST,,42,
Steinfeld(Pfalz),5710,NAST,VRN,198,
Steinfeld(Stendal),13039,NAST,,68,
Steinfurt-Borghorst,1096,NAST,VGM,459,
Steinfurt-Burgstein.,62,AST,VGM,"102,459",
Steinfurt-Grottenk,5712,NAST,VGM,459,
Steinhagen(W) Bi.Str,5702,NAST,OWL,163,
Steinhagen(Westf),5704,NAST,OWL,163,
Steinhausen-Neuburg,13040,NAST,,1212,
Steinheim(Donau),5705,NAST,,115,
Steinheim(Main),5706,NAST,RMV,98,*
Steinheim(Murr),5707,NAST,VVS,239,
Steinheim(Westf),5708,NAST,HST,38,
Steinheim-Sandebeck,5283,NAST,HST,420,
Steinhöring,5709,NAST,MVV,264,
Steinpleis,10333,NAST,VMS,482,
Steinrain,5711,NAST,,61,
Steinsfurt,5714,NAST,VRN,131,
Steinweiler,5713,NAST,KVV,198,
Steinwenden,5715,NAST,,194,
Steinwiesen,5716,NAST,VGN,145,
Stelle,5717,NAST,HVV,43,*
Stendal Hbf,10334,HAST,,"1123,68,1030,1179,1132,1180",
Stendal Hochschule,13045,NAST,,1132,
Stendal-Stadtsee,10335,NAST,,1132,
Stendal Vorbf,13046,NAST,,1180,
St Englmar,450,NAST,,579,
Stenn,13047,NAST,VMS,403,*
Stephansposching,5719,NAST,,259,
Sterbfritz,5720,NAST,RMV,343,
Sternfeld,13051,NAST,,1204,
Sterzhausen,5722,NAST,RMV,202,
Stetten(Donau),5723,NAST,TUT,399,
Stetten(Haigerloch),5728,NAST,NAL,399,
Stetten(Schwab),5725,NAST,,413,
Stetten am Heuchelb.,5724,NAST,HNV,131,
Stetten-Beinstein,5726,NAST,VVS,553,
Stettfeld(Baden),5730,NAST,KVV,108,
Stettfeld(Unterfr),5727,NAST,,19,
Stettfeld-Weiher,5933,NAST,KVV,428,
St Felix,5643,NAST,,153,
St Georgen(Schwarzw),5644,NAST,VSB,206,
St Goar,5645,NAST,VRM,315,
St Goarshausen,5646,NAST,VRM,394,
Stift Keppel-Allenb.,5731,NAST,VGW,218,
St Ilgen-Sandhausen,5648,NAST,VRN,428,
Stimpfach,5732,NAST,,2,
St Ingbert,5649,NAST,SVV,387,
St Koloman,5652,NAST,MVV,264,
St Mang,5653,NAST,,79,*
St Michaelisdonn,5655,NAST,SHT,493,
Stockach,5733,NAST,VHB,485,
Stockau,5734,NAST,VGN,421,
Stockdorf,5735,NAST,MVV,91,*
Stockhausen(Lahn),5736,NAST,RMV,698,
Stockheim(Oberfr),5737,NAST,VGN,145,
Stockheim(Unterfr),5738,NAST,,408,
Stockstadt(Main),5739,NAST,VAB,456,
Stockstadt(Rhein),5740,NAST,RMV,444,
Stolberg(Rheinl)Hbf,348,NAST,AVV,299,
Stolberg-Altstadt,5741,NAST,AVV,299,
Stolberg-MühlenerBf,5745,NAST,AVV,299,
Stolberg-Rathaus,5743,NAST,AVV,299,
Stolberg-Schneidmü,5744,NAST,AVV,299,
Stollberg(Sachs),10337,NAST,VMS,33,
Stollberg Schlachth,13055,NAST,VMS,33,
Stolpen,13057,NAST,VVO,1096,
Stommeln,5746,NAST,VRS,191,
Storkow(Mark),13058,NAST,VBB,1065,
Störnstein,5742,NAST,,153,
Storzingen,5747,NAST,NAL,399,
Stotternheim,13061,NAST,VMT,249,
St Ottilien,5656,NAST,,134,
Stralsund-Grünhufe,11778,NAST,,8,
Stralsund Hbf,10338,HAST,,"1091,1204,8,1003",
Stralsund Rügendamm,13062,NAST,,1091,
Strasburg(Uckerm),10339,NAST,,1206,
Straßberg-Winterl.,5750,NAST,NAL,399,
Straßkirchen,5752,NAST,,259,
Straß-Moos,5749,NAST,,415,
Straubing,95,HAST,,"48,259,579,61",
Straubing Hafen,6744,NAST,,48,
Straubing-Ost,6745,NAST,,48,
Strausberg,10341,NAST,VBB,1034,
Strausberg-Hegerm.,11581,NAST,VBB,1034,
Strausberg Nord,13064,NAST,VBB,1034,
Strausberg Stadt,11579,NAST,VBB,1034,
Straußfurt,10342,NAST,,358,
Strötzbach,5759,NAST,VAB,455,*
Strullendorf,5760,NAST,VGN,679,
Struthütten,5761,NAST,,274,
St Thomas,5658,NAST,VRT,296,
Stubben,5763,NAST,VBN,126,
Stubersheim,5757,NAST,DIN,427,
Stühlingen,5764,NAST,WTV,330,
Stumsdorf,10343,NAST,MDV,1027,
Stuttgart-Bad Cannst,5769,NAST,VVS,137,*
Stuttgart Ebitzweg,5766,NAST,VVS,137,*
Stuttgart-Feuerbach,5770,NAST,VVS,137,*
Stuttgart Feuersee,6699,NAST,VVS,470,*
Stuttgart Flugh/Mess,5768,NAST,VVS,470,
Stuttgart Hbf,96,HAST,VVS,"470,137",*
Stuttgart-Münster,5771,NAST,VVS,137,*
Stuttgart Neckarpark,6743,NAST,VVS,137,*
Stuttgart Nord,5767,NAST,VVS,137,*
Stuttgart Nürn.Str.,4357,NAST,VVS,137,*
Stuttgart-Obertürkh,5772,NAST,VVS,137,*
Stuttgart-Österfeld,5779,NAST,VVS,470,*
Stuttgart-Rohr,5773,NAST,VVS,470,*
Stuttgart Schwabstr.,6698,NAST,VVS,470,*
Stuttgart-Sommerrain,5774,NAST,VVS,137,*
Stuttgart Stadtmitte,6700,NAST,VVS,470,*
Stuttgart Uni,6513,NAST,VVS,470,*
Stuttgart-Untertürk,5775,NAST,VVS,137,*
Stuttgart-Vaihingen,5776,NAST,VVS,470,*
Stuttgart-Zazenh.,5777,NAST,VVS,137,*
Stuttgart-Zuffenh.,5778,NAST,VVS,137,*
Stützerbach,13071,NAST,,1087,
St Wendel,5659,NAST,SVV,381,
Subzin-Liessow,13072,NAST,VVW,395,
Suchsdorf,5781,NAST,SHT,288,*
Süderbrarup,5782,NAST,SHT,288,
Suderburg,5780,NAST,,382,
Süderdeich,5783,NAST,SHT,22,
Süderlügum,5789,NAST,SHT,667,
Suerhop,5788,NAST,HVV,41,
Suhl,10345,AST,,5,
Suhl-Heinrichs,13077,NAST,,5,
Sülstorf,13073,NAST,,1217,
Sulz(Neckar),5791,NAST,VVR,204,
Sülzbach,5786,NAST,HNV,243,*
Sulzbach(Inn),5793,NAST,VLP,93,
Sulzbach(Main),5794,NAST,VAB,157,
Sulzbach(Murr),5795,NAST,VVS,543,
Sulzbach(Saar),5796,NAST,SVV,376,
Sulzbach(Saar)Altenw,5797,NAST,SVV,376,
Sulzbach(Taunus),5798,NAST,RMV,380,
Sulzbach(Taunus)Nord,5799,NAST,RMV,380,
Sulzbach-Rosenberg,5800,NAST,VGN,418,
Sulzbach-Rosenberg H,5801,NAST,VGN,418,
Sülzbach Schule,5792,NAST,HNV,243,*
Sulzbachtal,6019,NAST,VRN,15,
Sulzberg,5802,NAST,,79,
Sülzenbrücken,13074,NAST,VMT,484,
Sulzfeld(Baden),5805,NAST,KVV,131,
Sünching,5787,NAST,,61,
Süßen,5790,NAST,VVS,427,
Swisttal-Odendorf,4616,NAST,VRS,443,
Syke,5809,NAST,VBN,389,
Syrau,13080,NAST,VVV,268,
Sythen,5811,NAST,VRR,149,
Taben,5812,NAST,VRT,186,
Tacherting,5813,NAST,,49,
Taibrechting,5815,NAST,,93,
Talhausen-Herrenz.,5817,NAST,VVR,204,
Tamm(Württ),5820,NAST,VVS,541,
Tangerhütte,13083,NAST,MAR,1179,
Tangermünde,13084,NAST,,1180,
Tangermünde West,13085,NAST,,1180,
Tanndorf,13087,NAST,MDV,312,
Tannheim(Württ),5823,NAST,,430,
Tannroda,13089,NAST,VMT,1305,
Tantow,13090,NAST,VBB,1122,
Tantow(Gr),10346,AST,,1122,
Tapfheim,5824,NAST,,115,
Tarp,5825,NAST,SHT,289,
Tating,5826,NAST,SHT,1,
Taubenheim(Spree),13092,NAST,VON,298,
