Sammelbezeichnung,Typ,ab km,preisbildender Tarifpunkt,IBNR,gleichgestellter Tarifpunkt,IBNR
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal Schlachthof,1216
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal Sportzentr.,1212
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal Tunnelstr.,1219
Buchen(Odenw),TARIF,51,Buchen(Odenw),1227,Bödigheim,1056
Buchen(Odenw),TARIF,51,Buchen(Odenw),1227,Buchen(Odenw),1227
Buchen(Odenw),TARIF,51,Buchen(Odenw),1227,Buchen Ost,1226
Buchen(Odenw),TARIF,51,Buchen(Odenw),1227,Hainstadt(Baden),2529
Celle,CITY,101,Celle,64,Celle,64
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Altchemnitz,13602
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Borna,11974
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Erdmannsd.S,13604
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Erfenschlag,11975
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Friedrichs.,13600
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz G-Freytag-S,13606
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Harthau,11977
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Hbf,10184
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Hilbersd,13450
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Kinderwald,11970
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Küchwald,11969
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Mitte,11971
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Reichenhain,11978
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Riemensch.S,13601
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Roesslerstr,13605
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Schönau,11979
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Schule Altc,13603
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz-Siegmar,11980
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Stadlerpl,13610
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Süd,10185
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz TU Campus,13612
Chemnitz,CITY,101,Chemnitz Hbf,10184,Chemnitz Zentralhst,13607
Chemnitz,CITY,101,Chemnitz Hbf,10184,Einsiedel,11466
Chemnitz,CITY,101,Chemnitz Hbf,10184,Einsiedel Brauerei,11465
Chemnitz,CITY,101,Chemnitz Hbf,10184,Einsiedel Hp Gymnas.,11464
Chemnitz,CITY,101,Chemnitz Hbf,10184,Grüna(Sachs)Hp,11770
Chemnitz,CITY,101,Chemnitz Hbf,10184,Klaffenbach Hp,10192
Chemnitz,CITY,101,Chemnitz Hbf,10184,Neukirchen-Klaffenb,12462
Chemnitz,CITY,101,Chemnitz Hbf,10184,Wittgensdorf Mitte,13324
Chemnitz,CITY,101,Chemnitz Hbf,10184,Wittgensdorf ob Bf,10383
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz G-Freytag-S,13606
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz Hbf,10184
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz Mitte,11971
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz Stadlerpl,13610
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz Süd,10185
Chemnitz,TARIF,31,Chemnitz Hbf,10184,Chemnitz Zentralhst,13607
Cottbus,CITY,101,Cottbus Hbf,10073,Cottbus Hbf,10073
Cottbus,CITY,101,Cottbus Hbf,10073,Cottbus-Merzdorf,12341
Cottbus,CITY,101,Cottbus Hbf,10073,Cottbus-Sandow,11318
Cottbus,CITY,101,Cottbus Hbf,10073,Cottbus-Willmersd N,11331
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt-Arheilgen,1378
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt-Eberstadt,1379
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt Hbf,68
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt-Kranichst.,1380
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt Nord,1375
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt Ost,1376
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt Süd,1377
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt TU-Lichtw.,1386
Darmstadt,CITY,101,Darmstadt Hbf,68,Darmstadt-Wixhausen,6528
Darmstadt,TARIF,71,Darmstadt Hbf,68,Darmstadt Hbf,68
Darmstadt,TARIF,71,Darmstadt Hbf,68,Darmstadt Nord,1375
Darmstadt,TARIF,71,Darmstadt Hbf,68,Darmstadt Süd,1377
Delmenhorst,CITY,101,Delmenhorst,70,Delmenhorst,70
Delmenhorst,CITY,101,Delmenhorst,70,Heidkrug,2694
Delmenhorst,CITY,101,Delmenhorst,70,Hoykenkamp,3008
Detmold,CITY,101,Detmold,1420,Detmold,1420
Dettingen(Erms),TARIF,1,Dettingen-Mitte,1425,Dettingen Freibad,1424
Dettingen(Erms),TARIF,1,Dettingen-Mitte,1425,Dettingen Lehen,1422
Dettingen(Erms),TARIF,1,Dettingen-Mitte,1425,Dettingen-Mitte,1425
Donaueschingen,TARIF,1,Donaueschingen,77,Donauesch.Allmendsh.,1479
Donaueschingen,TARIF,1,Donaueschingen,77,Donauesch.Grüningen,1483
Donaueschingen,TARIF,1,Donaueschingen,77,Donauesch.Mitte/Sied,1485
Donaueschingen,TARIF,1,Donaueschingen,77,Donaueschingen Aufen,1482
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Aplerbeck,1523
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Aplerbeck S,1524
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Asseln Mitt,1526
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Barop,1527
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Bövingh.,1528
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Brackel,1529
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Derne,1530
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Dorstfeld,81
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Dorstfeld S,4230
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Germania,1540
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Hbf,80
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Hörde,961
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Huckarde,1505
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Huckarde N,1532
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Kirchderne,1533
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Kirchhörde,1534
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Kley,4269
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Knappschaft,1517
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Körne,1535
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Körne West,3916
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Kruckel,1536
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Kurl,1537
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Löttringh.,1538
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Lütgend.N,1539
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Lütgendort,1516
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Marten,1541
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Marten Süd,1542
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Mengede,1543
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Möllerbr.,1518
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Nette/Oest,1519
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Oespel,4288
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Rahm,1544
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Scharnhorst,1515
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Signal Idu.,1522
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Sölde,1545
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Somborn,1549
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Stadthaus,1520
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund Tierpark,1521
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Uni.,4419
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund West,3946
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Westerfilde,1525
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Wickede,1546
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Wickede W,3936
Dortmund,CITY,101,Dortmund Hbf,80,Dortmund-Wischlingen,1531
Dresden,CITY,101,Dresden Hbf,10085,Cossebaude,11320
Dresden,CITY,101,Dresden Hbf,10085,Dresden Bischofspl.,11416
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Cotta,11419
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Dobritz,11420
Dresden,CITY,101,Dresden Hbf,10085,Dresden Flughafen,11399
Dresden,CITY,101,Dresden Hbf,10085,Dresden Freiberg.Str,11431
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Friedrichst,13475
Dresden,CITY,101,Dresden Hbf,10085,Dresden Grenzstraße,11417
Dresden,CITY,101,Dresden Hbf,10085,Dresden Hbf,10085
Dresden,CITY,101,Dresden Hbf,10085,Dresden Industriegel,11418
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Kemnitz,11421
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Klotzsche,10088
Dresden,CITY,101,Dresden Hbf,10085,Dresden Mitte,13444
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Neustadt,10089
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Niedersedl,11422
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Pieschen,11423
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Plauen,13476
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Reick,11424
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Stetzsch,11425
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Strehlen,11426
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Trachau,11427
Dresden,CITY,101,Dresden Hbf,10085,Dresden-Zschachwitz,11428
Dresden,CITY,101,Dresden Hbf,10085,Langebrück(Sachs),12150
Dresden,CITY,101,Dresden Hbf,10085,Niederwartha,12503
Dresden,CITY,101,Dresden Hbf,10085,Weixdorf,13268
Dresden,CITY,101,Dresden Hbf,10085,Weixdorf Bad,13269
Dresden,TARIF,31,Dresden Hbf,10085,Dresden Freiberg.Str,11431
Dresden,TARIF,31,Dresden Hbf,10085,Dresden Hbf,10085
Dresden,TARIF,31,Dresden Hbf,10085,Dresden Mitte,13444
Dresden,TARIF,31,Dresden Hbf,10085,Dresden-Neustadt,10089
Duisbg-Ruhrort,CITY,101,Duisburg-Ruhrort,1611,Duisburg-Meiderich O,1607
Duisbg-Ruhrort,CITY,101,Duisburg-Ruhrort,1611,Duisburg-Meiderich S,367
Duisbg-Ruhrort,CITY,101,Duisburg-Ruhrort,1611,Duisburg-Obermeider.,1608
Duisbg-Ruhrort,CITY,101,Duisburg-Ruhrort,1611,Duisburg-Ruhrort,1611
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg-Buchholz,1600
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg-Großenbaum,1602
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg Hbf,86
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg-Hochfeld S,1605
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg-Rahm,1609
Duisburg,CITY,101,Duisburg Hbf,86,Duisburg-Schlenk,1596
Duisburg,CITY,101,Duisburg Hbf,86,Rheinhausen,317
Duisburg,CITY,101,Duisburg Hbf,86,Rheinhausen Ost,5065
Duisburg,CITY,101,Duisburg Hbf,86,Rumeln,5225
Duisburg,CITY,101,Duisburg Hbf,86,Trompet,5910
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren,84
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren-Annakirmespl.,223
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren Im GroßenTal,224
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren-Kuhbrücke,3468
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren-Lendersdorf,3642
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Düren Renkerstraße,4969
Düren Stadt,CITY,101,Düren-Annakirmespl.,223,Niederau-Tuchmühle,4301
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren,84
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren-Annakirmespl.,223
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren Im GroßenTal,224
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren-Kuhbrücke,3468
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren-Lendersdorf,3642
Düren Stadt,TARIF,1,Düren-Annakirmespl.,223,Düren Renkerstraße,4969
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Angermund,579
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Benrath,1584
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Bilk,1585
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Derend.,1586
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Eller,1587
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Eller M,1308
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Eller S,1588
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Flingern,1598
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Flugh.,82
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Flugh.T.,1580
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Friedrst,1579
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Garath,1589
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Gerresh.,1590
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Hamm,1597
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Hbf,85
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Hellerh.,4920
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Oberbilk,1591
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Rath,1592
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Rath Mit,1593
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Reisholz,1594
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Unterr.,1595
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Volksg.,1581
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Völk St,1603
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf Wehrhahn,1582
Düsseldorf,CITY,101,Düsseldorf Hbf,85,Düsseldorf-Zoo,1583
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf-Bilk,1585
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf-Derend.,1586
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf-Flingern,1598
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf Friedrst,1579
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf Hbf,85
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf-Oberbilk,1591
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf Volksg.,1581
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf Wehrhahn,1582
Düsseldorf,TARIF,31,Düsseldorf Hbf,85,Düsseldorf-Zoo,1583
E-Altenessen,CITY,101,Essen-Altenessen,1900,Essen-Altenessen,1900
E-Altenessen,CITY,101,Essen-Altenessen,1900,Essen-Bergeborbeck,1901
E-Altenessen,CITY,101,Essen-Altenessen,1900,Essen-Dellwig,1903
E-Altenessen,CITY,101,Essen-Altenessen,1900,Essen-Zollver. Nord,1909
Ellhofen,TARIF,1,Ellhofen,1747,Ellhofen,1747
Ellhofen,TARIF,1,Ellhofen,1747,Weinsbg/Ellhofen Gew,6294
Elmshorn,CITY,101,Elmshorn,92,Elmshorn,92
Elmshorn,CITY,101,Elmshorn,92,Horst(Holst),3003
Erfurt,CITY,101,Erfurt Hbf,10101,Erfurt-Bischleben,11502
Erfurt,CITY,101,Erfurt Hbf,10101,Erfurt-Gispersleben,11503
Erfurt,CITY,101,Erfurt Hbf,10101,Erfurt Hbf,10101
Erfurt,CITY,101,Erfurt Hbf,10101,Erfurt Nord,10102
Erfurt,CITY,101,Erfurt Hbf,10101,Erfurt Ost,11500
Erlangen,CITY,101,Erlangen,1844,Bubenreuth,1223
Erlangen,CITY,101,Erlangen,1844,Eltersdorf,1762
Erlangen,CITY,101,Erlangen,1844,Er. Paul-Gossen-Str.,1846
Erlangen,CITY,101,Erlangen,1844,Erlangen,1844
Erlangen,CITY,101,Erlangen,1844,Erlangen-Bruck,1845
Erndtebrück,TARIF,31,Erndtebrück,1851,Erndtebrück,1851
Essen,CITY,101,Essen Hbf,98,Essen-Borbeck,1902
Essen,CITY,101,Essen Hbf,98,Essen-Borbeck Süd,5031
Essen,CITY,101,Essen Hbf,98,Essen-Dellwig Ost,1904
Essen,CITY,101,Essen Hbf,98,Essen-Eiberg,1905
Essen,CITY,101,Essen Hbf,98,Essen-Frohnhausen,1906
Essen,CITY,101,Essen Hbf,98,Essen-Gerschede,1907
Essen,CITY,101,Essen Hbf,98,Essen Hbf,98
Essen,CITY,101,Essen Hbf,98,Essen-Holthausen,6514
Essen,CITY,101,Essen Hbf,98,Essen-Horst,6194
Essen,CITY,101,Essen Hbf,98,Essen-Hügel,1908
Essen,CITY,101,Essen Hbf,98,Essen-Kray Nord,1910
Essen,CITY,101,Essen Hbf,98,Essen-Kray Süd,1911
Essen,CITY,101,Essen Hbf,98,Essen-Kupferdreh,1912
Essen,CITY,101,Essen Hbf,98,Essen Stadtwald,1896
Essen,CITY,101,Essen Hbf,98,Essen-Steele,99
Essen,CITY,101,Essen Hbf,98,Essen-Steele Ost,1913
Essen,CITY,101,Essen Hbf,98,Essen Süd,1897
Essen,CITY,101,Essen Hbf,98,Essen-Überruhr,1914
Essen,CITY,101,Essen Hbf,98,Essen-Werden,1915
Essen,CITY,101,Essen Hbf,98,Essen West,1898
Essen,CITY,101,Essen Hbf,98,Kettwig,198
Essen,CITY,101,Essen Hbf,98,Kettwig Stausee,3245
Essen,TARIF,1,Essen Hbf,98,Essen Hbf,98
Essen,TARIF,1,Essen Hbf,98,Essen Süd,1897
Essen,TARIF,1,Essen Hbf,98,Essen West,1898
Esslingen(N),CITY,101,Esslingen(Neckar),1920,Esslingen(Neckar),1920
Esslingen(N),CITY,101,Esslingen(Neckar),1920,Esslingen-Mettingen,1921
Esslingen(N),CITY,101,Esslingen(Neckar),1920,Esslingen-Zell,6642
Esslingen(N),CITY,101,Esslingen(Neckar),1920,Oberesslingen,4528
Feldhausen,CITY,101,Feldhausen,1972,Feldhausen,1972
Flensburg,CITY,101,Flensburg,103,Flensburg,103
Flughafen BER,TARIF,1,Schönefeld (b.Bln.),10109,Flughafen BER,11201
Flughafen BER,TARIF,1,Schönefeld (b.Bln.),10109,Schönefeld (b.Bln.),10109
Flughafen BER,TARIF,1,Schönefeld (b.Bln.),10109,Waßmannsdorf,13241
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Eschborn Süd,1871
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Ff-Höchst Farbwerke,2051
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Gallusw.,6690
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Hauptw.,6692
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Konst.,4429
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Lokalbf.,2038
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Mühlbg.,2034
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Ostend.,2058
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Stadion,2040
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Stresem.,2059
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(M)Tsanlage,6691
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(Main)Hbf,105
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(Main)Messe,2035
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(Main)Ost,2039
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(Main)Süd,2041
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt(Main)West,2042
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Berkersh.,2043
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Eschersh.,2045
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-F. Berg,2044
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Griesheim,2046
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Höchst,106
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Louisa,2047
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Mainkur,2048
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Nied,2049
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Niederrad,2050
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Rödelheim,2052
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Sindlingen,2053
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Sossenheim,2054
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Unterlied.,3417
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Frankfurt-Zeilsheim,2055
Frankfurt(Main),CITY,101,Frankfurt(Main)Hbf,105,Liederbach-Süd,3453
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Gallusw.,6690
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Hauptw.,6692
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Konst.,4429
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Lokalbf.,2038
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Mühlbg.,2034
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Ostend.,2058
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Stresem.,2059
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(M)Tsanlage,6691
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(Main)Hbf,105
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(Main)Messe,2035
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(Main)Süd,2041
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt(Main)West,2042
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt-Griesheim,2046
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt-Louisa,2047
Frankfurt(Main),TARIF,71,Frankfurt(Main)Hbf,105,Frankfurt-Niederrad,2050
Frankfurt(Oder),TARIF,71,Frankfurt(Oder),10113,Frankfurt(O)-Roseng,11559
Frankfurt(Oder),TARIF,71,Frankfurt(Oder),10113,Frankfurt(Oder),10113
Frankfurt(Oder),TARIF,71,Frankfurt(Oder),10113,Frankfurt(Oder)-Neub,11557
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg(Brsg)Hbf,107
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-Herdern,2067
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg Klinikum,2077
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-Landwasser,2066
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-Littenweil.,2068
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg Messe/Uni,2064
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-St Georgen,2069
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-Wiehre,2070
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Freiburg-Zähringen,2071
Freiburg(Brsg),CITY,101,Freiburg(Brsg)Hbf,107,Gundelfingen(Breisg),2465
Freiburg(Brsg),TARIF,71,Freiburg(Brsg)Hbf,107,Freiburg(Brsg)Hbf,107
Freiburg(Brsg),TARIF,71,Freiburg(Brsg)Hbf,107,Freiburg-Herdern,2067
Freiburg(Brsg),TARIF,71,Freiburg(Brsg)Hbf,107,Freiburg-Wiehre,2070
Freiburg(Brsg),TARIF,71,Freiburg(Brsg)Hbf,107,Freiburg-Zähringen,2071
Freising,CITY,101,Freising,2078,Freising,2078
Freising,CITY,101,Freising,2078,Pulling(b Freising),4900
Freudenstadt,TARIF,71,Freudenstadt Hbf,110,Freudenstadt Hbf,110
Freudenstadt,TARIF,71,Freudenstadt Hbf,110,Freudenstadt Schulen,2090
Freudenstadt,TARIF,71,Freudenstadt Hbf,110,Freudenstadt Stadt,2091
Friedberg,TARIF,1,Friedberg(Hess),111,Friedberg Süd,2105
Friedrichroda,TARIF,31,Friedrichroda,11578,Friedrichroda,11578
Friedrichroda,TARIF,31,Friedrichroda,11578,Reinhardsbrunn-Fried,12742
Friedrichshafen,CITY,101,Friedrichshafen St.,112,Friedrichshafen-Fiba,2111
Friedrichshafen,CITY,101,Friedrichshafen St.,112,Friedrichshafen Flug,2120
Friedrichshafen,CITY,101,Friedrichshafen St.,112,Friedrichshafen Haf.,2110
Friedrichshafen,CITY,101,Friedrichshafen St.,112,Friedrichshafen-Kluf,3345
