Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Aachen Hbf,1,Furth im Wald(Gr),3,705,AC*K*N*SAD
Aachen Hbf,1,Garmisch-Partenk.,2187,802,AC*(R/S)*GAP
Aachen Hbf,1,Geestgottberg,10121,624,AC*DU*H*MD*SDL
Aachen Hbf,1,Gelnhausen,117,342,AC*K*F*HU
Aachen Hbf,1,Gelsenkirchen Hbf,118,135,AC*(MG*DU/K*E)*GE
Aachen Hbf,1,Geltendorf,119,684,AC*(N/S)*A
Aachen Hbf,1,Gemünden(Main),120,396,AC*K*GEM
Aachen Hbf,1,Gensingen-Horrweiler,121,239,AC*K*KO*BIN
Aachen Hbf,1,Genthin,10123,569,AC*H*MD
Aachen Hbf,1,Gera Hbf,10125,716,AC*H*(MD/JS)*G
Aachen Hbf,1,Gerolstein,123,183,AC*DN*HORR*K
Aachen Hbf,1,Gerstungen,11629,458,AC*(ALT/MZ)*BEB
Aachen Hbf,1,Gießen,124,244,AC*(SI/KO)*GI
Aachen Hbf,1,Gifhorn,185,430,AC*(OS/K)*H
Aachen Hbf,1,Gladbeck West,125,141,AC*(DN*K*LBG/MG*KR*DU)*BOT
Aachen Hbf,1,Glauchau(Sachs),10129,747,AC*H*(SDL/NDH)*L*WDA
Aachen Hbf,1,Göppingen,127,509,AC*K*S*PLO
Aachen Hbf,1,Görlitz,10131,864,AC*DU*(SDL/EF)*GR
Aachen Hbf,1,Goslar,130,463,AC*(OS/K)*HI
Aachen Hbf,1,Gotha,10136,511,AC*DO*KS*GTH
Aachen Hbf,1,Göttingen,128,453,AC*(H/KS)*GOE
Aachen Hbf,1,Graben-Neudorf,131,369,AC*(MZ/F)*MA
Aachen Hbf,1,Grambow(Gr),10138,849,AC*DU*(HL/H*SN)*PW
Aachen Hbf,1,Grevenbroich,133,77,AC*RY*GREV
Aachen Hbf,1,Groß Gerau,136,278,AC*K*MZ
Aachen Hbf,1,Grünstadt,137,338,AC*K*WO
Aachen Hbf,1,Günzburg,139,586,AC*(F/KA)*UL
Aachen Hbf,1,Güsen(b Genthin),10151,554,AC*H*MD
Aachen Hbf,1,Güsten,10152,562,AC*(H/NDH)*GUS
Aachen Hbf,1,Güstrow,10153,680,AC*DU*(HB/MD)*GUE
Aachen Hbf,1,Gutenfürst,11790,719,AC*K*WUE*(SW/N)*HO
Aachen Hbf,1,Güterglück,10154,552,AC*H*MD
Aachen Hbf,1,Gütersloh Hbf,2461,245,AC*(DU/K)*HAM
Aachen Hbf,1,Haan-Gruiten,138,107,AC*(MG/K)*D
Aachen Hbf,1,Hagen Hbf,142,145,AC*W*HA
Aachen Hbf,1,Halberstadt Hbf,10157,576,AC*H*MD
Aachen Hbf,1,Halle(Saale)Hbf,10159,604,AC*(H/EF)*HAL
Aachen Hbf,1,Halle-Ammendorf,10162,610,AC*(H/EF)*HAL
Aachen Hbf,1,Halle-Neustadt,10160,616,AC*(H/EF)*HAL
Aachen Hbf,1,Haltern am See,145,167,AC*(K/MG*KR*DU)*GE*(WAN/HER)*RE
Aachen Hbf,1,Hamburg-Harburg,147,503,AC*(HB/H)*HAR
Aachen Hbf,1,Hamburg Hbf,2549,516,AC*(HB/H)*HAR*HHH
Aachen Hbf,1,Hamburg-Sternschanze,146,518,AC*(HB/H)*HH
Aachen Hbf,1,Hameln,148,349,AC*(OB/K)*HM
Aachen Hbf,1,Hamm(Westf)Hbf,149,195,AC*(DU/K)*HAM
Aachen Hbf,1,Hanau Hbf,150,321,AC*K*F*HU
Aachen Hbf,1,Hannover Hbf,152,373,AC*(OS/K)*H
Aachen Hbf,1,Heide(Holst),155,641,AC*(OS/H)*HEI
Aachen Hbf,1,Heidelberg Hbf,156,352,AC*K*(MZ/F)*HD
Aachen Hbf,1,Heilbronn Hbf,157,432,AC*K*(DA/KA)*HN
Aachen Hbf,1,Helmstedt,159,470,AC*(OS/K)*BS
Aachen Hbf,1,Hennigsdorf(b Bln),13483,687,AC*DU*H*MD*B
Aachen Hbf,1,Herbertingen,160,638,AC*(F/KA)*UL
Aachen Hbf,1,Herborn(Dillkr),161,210,AC*K*SI
Aachen Hbf,1,Herford,162,276,AC*(DU/K)*BI
Aachen Hbf,1,Herlasgrün,10166,767,AC*K*WUE*(SW/N)*HO
Aachen Hbf,1,Herne,164,145,AC*(K*LBG/MG*DU)*GE*WAN
Aachen Hbf,1,Herrnburg,11864,595,AC*(HB/H)*HL
Aachen Hbf,1,Hervest-Dorsten,165,153,AC*(DN*K*LBG/MG*KR*DU)*BOT
Aachen Hbf,1,Herzberg(Harz),166,416,AC*ALT
Aachen Hbf,1,Hesepe,167,293,AC*(DU/K)*OS
Aachen Hbf,1,Hildesheim Hbf,169,408,AC*(OS/K)*HI
Aachen Hbf,1,Hockeroda,10170,668,AC*K*WUE*SLF
Aachen Hbf,1,Hof Hbf,2924,704,AC*K*WUE*(SW/N)*HO
Aachen Hbf,1,Holthusen,10173,619,AC*DU*(HL/MD)*SN
Aachen Hbf,1,Homburg(Saar)Hbf,176,398,AC*(LM*MZ/KO*SB)*HOM
Aachen Hbf,1,Horb,177,529,AC*(F/KA)*HOR
Aachen Hbf,1,Horrem,178,52,AC*HORR
Aachen Hbf,1,Hosena,10171,770,AC*(H/EF)*ELW
Aachen Hbf,1,Husum,181,676,AC*(OS/H)*HUS
Aachen Hbf,1,Igel(Gr),303,292,AC*K*KO*TR
Aachen Hbf,1,Immendingen,182,583,AC*K*KA*OG
Aachen Hbf,1,Ingolstadt Hbf,183,632,AC*K*WUE*(N/AN)*IN
Aachen Hbf,1,Iserlohn,186,172,AC*W*HA
Aachen Hbf,1,Jena Saalbf,11058,583,AC*DO*KS*EF*JS
Aachen Hbf,1,Jüterbog,10182,637,AC*(H/HAL)*WB
Aachen Hbf,1,Kaiserslautern Hbf,189,345,AC*K*(MA/KH)*KL
Aachen Hbf,1,Kaldenkirchen,190,90,AC*RY*MG
Aachen Hbf,1,Karlsruhe Hbf,191,391,AC*K*(F/MZ)*KA
Aachen Hbf,1,Kassel-Wilhelmshöhe,3200,351,AC*(OB/K)*KS
Aachen Hbf,1,Kaufering,195,681,AC*(N/S)*A
Aachen Hbf,1,Kehl,3218,468,AC*K*KA*KEHL
Aachen Hbf,1,Kehl(Gr),8,469,AC*K*KA*KEHL
Aachen Hbf,1,Kempten(Allgäu)Hbf,197,648,AC*K*MM*KE
Aachen Hbf,1,Kiel Hbf,199,620,AC*(OS/H)*HH*KI
Aachen Hbf,1,Kirchenlaibach,201,631,AC*K*F*N
Aachen Hbf,1,Kißlegg,203,656,AC*K*S*MM
Aachen Hbf,1,Kleve,205,152,AC*MG*(VIE/NE)*KR
Aachen Hbf,1,Koblenz Hbf,206,165,AC*K*KO
Aachen Hbf,1,Köln Hbf,207,71,AC*DN*HORR*K
Aachen Hbf,1,Königs Wusterhausen,10193,698,AC*DU*H*MD*B
Aachen Hbf,1,Könnern,10194,634,AC*(H/EF)*HAL
Aachen Hbf,1,Korbach Hbf,210,276,AC*W*HA*SCHW
Aachen Hbf,1,Köthen,10195,568,AC*H*MD
Aachen Hbf,1,Krefeld Hbf,211,87,AC*MG*(VIE/NE)*KR
Aachen Hbf,1,Kreiensen,213,443,AC*(KR/K)*HAM*H*KREI
Aachen Hbf,1,Kreuztal,214,183,AC*K*SI
Aachen Hbf,1,Kufstein,3475,805,AC*(R/S)*KUF
Aachen Hbf,1,Lage(Lippe),215,291,AC*(DU/K)*BI
Aachen Hbf,1,Landau(Pfalz)Hbf,216,359,AC*K*(LM*MZ/KL)*NW
Aachen Hbf,1,Landshut(Bay)Hbf,217,699,AC*K*N*LA
Aachen Hbf,1,Lauda,221,478,AC*K*F*WUE
Aachen Hbf,1,Lauterbach(Hess)Nord,222,428,AC*K*F*FD
Aachen Hbf,1,Leer(Ostfriesl),225,363,AC*(OB/DO)*LER
Aachen Hbf,1,Lehrte,226,389,AC*(OS/K)*H
Aachen Hbf,1,Leinefelde,10203,465,AC*(DU/HA)*KS*EICH
Aachen Hbf,1,Leipzig Hbf,10205,642,AC*(H/EF)*L
Aachen Hbf,1,Leipzig-Leutzsch,10207,649,AC*(H/EF)*L
Aachen Hbf,1,Letmathe,227,166,AC*W*HA
Aachen Hbf,1,Lichtenfels,228,567,AC*K*WUE*(SW/N)*LIF
Aachen Hbf,1,Limburg(Lahn),229,217,AC*K*(SIGB/KO)*LM
Aachen Hbf,1,Limburg Süd,3680,218,AC*K*(SIGB/KO)*LM
Aachen Hbf,1,Lindau-Insel,230,689,AC*K*(S/OG)*LI
Aachen Hbf,1,Lindau-Reutin,3693,689,AC*(UL/OG)*FN
Aachen Hbf,1,Lippstadt,571,224,AC*(DU/K)*UN
Aachen Hbf,1,Löbau(Sachs),10212,840,AC*(SDL/EF)*RIE
Aachen Hbf,1,Löhne(Westf),233,287,AC*(DU/K)*BI
Aachen Hbf,1,Lollar,234,252,AC*(SI/KO)*GI
Aachen Hbf,1,Löwenberg(Mark),10214,727,AC*DU*H*MD*B
Aachen Hbf,1,Lübben(Spreewald),10217,745,AC*DU*H*MD*B
Aachen Hbf,1,Lübeck Hbf,237,584,AC*(HB/H)*HL
Aachen Hbf,1,Ludwigsburg,235,481,AC*(F/KA)*S
Aachen Hbf,1,Ludwigsfelde,10215,710,AC*H*MD*B*BSFL
Aachen Hbf,1,Ludwigshafen(Rh)Hbf,236,332,AC*(MZ/F)*MA
Aachen Hbf,1,Ludwigslust,10216,674,AC*DU*MD*WBE
Aachen Hbf,1,Lüneburg,238,503,AC*(HB/H)*LG
Aachen Hbf,1,Lünen Hbf,239,177,AC*DO
Aachen Hbf,1,Luth. Wittenberg Hbf,10222,605,AC*(H/HAL)*WB
Aachen Hbf,1,Magdeburg Hbf,10224,518,AC*H*MD
Aachen Hbf,1,Magdeburg-Rothensee,10086,525,AC*H*MD
Aachen Hbf,1,Mainz-Bischofsheim,241,266,AC*K*MZ
Aachen Hbf,1,Mainz Hbf,240,258,AC*K*MZ
Aachen Hbf,1,Malsfeld,243,381,AC*(OB/K)*KS
Aachen Hbf,1,Mannheim Hbf,244,329,AC*(MZ/F)*MA
Aachen Hbf,1,Marburg(Lahn),337,274,AC*K*MR
Aachen Hbf,1,Markkleeberg-Großst,10228,656,AC*(H/EF)*L
Aachen Hbf,1,Marktredwitz,247,662,AC*K*N*MAK
Aachen Hbf,1,Mehltheuer,10229,741,AC*K*WUE*(SW/N)*HO
Aachen Hbf,1,Mellrichstadt Bf,3959,531,AC*K*F*SW
Aachen Hbf,1,Memmingen,249,613,AC*K*S*MM
Aachen Hbf,1,Merseburg Hbf,10232,618,AC*(H/EF)*HAL
Aachen Hbf,1,Michendorf,10233,651,AC*H*MD*P
Aachen Hbf,1,Minden(Westf),252,308,AC*(OS/K)*MI
Aachen Hbf,1,Mönchengladbach Hbf,253,63,AC*RY*MG
Aachen Hbf,1,Montabaur,667,234,AC*DN*HORR*K
Aachen Hbf,1,Mosbach-Neckarelz,264,404,AC*K*(MZ/F)*HD
