Region,ASTe,NASTe
356,"Bamberg, Coburg, Lichtenfels","Bad Staffelstein, Baunach, Breitengüßbach, Creidlitz, Ebensfeld, Ebern, Ebersdorf(b Coburg), Ebing, Grub am Forst, Hallstadt(b Bamberg), Manndorf,
Mürsbach, Rattelsdorf, Reckendorf, Rentweinsdorf, Schney, Zapfendorf"
357,Coburg,"Bad Rodach, Coburg-Beiersdorf, Coburg-Neuses, Großwalbur, Meeder, Wiesenfeld(b Coburg)"
358,"Bad Langensalza, Erfurt Hbf, Sondershausen","Dachwig, Döllstädt, Elxleben, Erfurt-Gispersleben, Erfurt Nord, Gangloffsömmern, Gräfentonna, Greußen, Hohenebra Ort, Kühnhausen, Niederspier,
Ringleben-Gebesee, Straußfurt, Walschleben, Wasserthaleben"
359,"Erfurt Hbf, Weimar","Hopfgarten(Weimar), Vieselbach"
360,"Coburg, Erfurt Hbf, Sonneberg(Thür)Hbf","Coburg Nord, Dörfles-Esbach, Mönchröden, Neustadt(b Coburg), Rödental, Rödental Mitte"
361,Brilon Wald,Brilon Stadt
362,"Herbertingen, Sigmaringen","Mengen, Sigmaringendorf"
363,"Arnsdorf(Dresden), Coswig(b Dresden), Dresden
Hbf, Elsterwerda, Riesa, Ruhland","Bischheim-Gersdorf, Cossebaude, Dresden Bischofspl., Dresden-Cotta, Dresden Flughafen, Dresden Freiberg.Str, Dresden-Friedrichst, Dresden Grenzstraße,
Dresden Industriegel, Dresden-Kemnitz, Dresden-Klotzsche, Dresden Mitte, Dresden-Neustadt, Dresden-Pieschen, Dresden-Stetzsch, Dresden-Trachau,
Frauenhain, Glaubitz(Riesa), Großenhain Cottb Bf, Großröhrsdorf, Hermsdorf(Dresden), Kamenz(Sachs), Kleinröhrsdorf, Königsbrück, Lampertswalde,
Langebrück(Sachs), Laußnitz, Niederau, Niederwartha, Nünchritz, Ortrand, Ottendorf-Okrilla Hp, Ottendorf-Okrilla N, Ottendorf-Okrilla S, Priestewitz,
Prösen Ost, Pulsnitz, Pulsnitz Süd, Radeberg, Radebeul-Kötzschenb, Radebeul-Naundorf, Radebeul Ost, Radebeul-Weintraube, Radebeul-Zitzschewig,
Weinböhla Hp, Weixdorf, Weixdorf Bad, Zabeltitz"
364,"Goslar, Seesen",Langelsheim
365,"Gifhorn, Salzwedel, Uelzen","Bad Bodenteich, Gifhorn Stadt, Knesebeck, Schnega, Schönewörde, Soltendieck, Stederdorf(Kr Uelz), Triangel, Vorhop, Wahrenholz, Wieren, Wittingen"
366,"Herzberg(Harz), Walkenried","Bad Lauterberg Barb., Bad Sachsa"
367,"Neustrelitz Hbf, Waren(Müritz)",Kratzeburg
368,Bünde(Westf),"Bad Holzhausen, Bieren-Rödinghausen, Espelkamp, Lübbecke(Westf), Mesch Neue Mühle, Rahden"
369,"Homburg(Saar)Hbf, Neunkirchen(Saar)Hbf","Bexbach, Neunkirchen(Saar)-W."
370,"Derneburg(Han), Salzgitter-Ringelh.",Baddeckenstedt
371,"Bayreuth Hbf, Neuenmarkt-Wirsberg","Bad Berneck(Fichtel), Bischofsgrün, Goldmühl, Himmelkron"
372,"Elsterwerda, Falkenberg(Elster), Ruhland","Bad Liebenwerda, Elsterwerda-Biehla, Lauchhammer, Plessa"
373,"Herzberg(Harz), Northeim(Han)","Hattorf, Katlenburg, Wulften"
374,"Ruhland, Senftenberg",Schwarzheide Ost
375,"Bad Harzburg, Goslar, Vienenburg",Oker
376,"Neunkirchen(Saar)Hbf, Saarbrücken Hbf","Bildstock, Dudweiler, Friedrichsthal(S) M, Friedrichsthal(Saar), Jägersfreude, Landsweiler-Reden, Sulzbach(Saar), Sulzbach(Saar)Altenw"
377,"Görlitz, Zittau","Görlitz-Weinhübel, Hagenwerder, Hirschfelde, Krzewina Zgorzelecka"
378,"Calau(Nl), Cottbus Hbf, Lübben(Spreewald)","Kolkwitz, Kunersdorf, Lübbenau(Spreewald), Raddusch, Vetschau"
379,"Lüneburg, Uelzen","Bad Bevensen, Bienenbüttel"
380,"Frankfurt(Main)Hbf, Frankfurt-Höchst,
Friedberg(Hess), Nidderau","Bad Homburg, Bad Soden(Taunus), Bad Vilbel, Bad Vilbel-Gronau, Bad Vilbel Süd, Brandoberndorf, Bruchenbrücken, Burgholzhausen v d H, Dortelweil,
Eschborn, Eschborn Süd, Frankfurt(M)Gallusw., Frankfurt(Main)Messe, Frankfurt(Main)West, Frankfurt-Berkersh., Frankfurt-Eschersh., Frankfurt-F. Berg,
Frankfurt-Rödelheim, Frankfurt-Sossenheim, Friedberg Süd, Friedrichsdorf(Ts), Grävenwiesbach, Groß Karben, Hasselborn, Hausen(Taunus), Hundstadt,
Köppern, Kronberg(Taunus), Kronberg Süd, Neu-Anspach, Nidderau-Windecken, Niederdorfelden, Niederhöchstadt, Nieder Wöllstadt, Oberursel(Taunus),
Oberursel-Stierstadt, Oberursel-Weiß/Stei, Okarben, Rodheim v d Höhe, Rosbach v d Höhe, Saalburg(Taunus), Schöneck-Büdesheim, Schöneck-Kilianst.,
Schöneck-Oberdorfel, Schwalbach(Ts)Limes, Schwalbach(Ts)Nord, Seulberg, Sulzbach(Taunus), Sulzbach(Taunus)Nord, Usingen, Wehrheim, Wilhelmsdorf"
381,"Neunkirchen(Saar)Hbf, Türkismühle","Baltersweiler, Hofeld, Namborn, Niederlinxweiler, Oberlinxweiler, Ottweiler(Saar), St Wendel, Walhausen(Saar), Wiebelskirchen"
382,"Celle, Uelzen","Eschede, Suderburg, Unterlüß"
384,Sömmerda,"Buttstädt, Großneuhausen, Guthmannshausen, Kiebitzhöhe, Kölleda, Olbersleben-Ellersl."
385,"Calbe(Saale) West, Güsten, Könnern, Köthen","Baalberge, Bernburg Hbf, Bernburg-Roschwitz, Bernburg-Strenzfeld, Bernburg-Waldau, Biendorf, Frenz, Ilberstedt, Nienburg(Saale)"
386,"Homburg(Saar)Hbf, Rohrbach(Saar)","Kirkel, Limbach(b Homb.Saar)"
387,"Rohrbach(Saar), Saarbrücken Hbf","Hanweiler(Gr), Rentrisch, Saarbrücken Ost, Schafbrücke, Scheidt(Saar), St Ingbert"
388,"Saarbrücken Hbf, Völklingen","Burbach Mitte, Luisenthal(Saar), Saarbrücken-Burbach"
389,"Bremen Hbf, Osnabrück Hbf","Barnstorf(Han), Barrien, Bassum, Bohmte, Bramstedt(b Syke), Bremen-Hemelingen, Diepholz, Dreye, Kirchweyhe, Lemförde, Syke, Twistringen"
390,"Soltau(Han), Uelzen","Brockhöfe, Ebstorf(Uelzen), Munster(Örtze)"
391,Emmerich,"Emmerich(Gr), Emmerich-Elten"
392,Lüneburg,"Bavendorf, Dahlenburg, Dannenberg Ost, Göhrde, Hitzacker, Leitstade, Neetzendorf, Oldendorf, Rohstorf, Vastorf, Wendisch Evern"
393,"Limburg(Lahn), Niederlahnstein","Bad Ems, Bad Ems West, Balduinstein, Dausenau, Diez, Fachingen(Lahn), Friedrichssegen, Laurenburg(Lahn), Nassau(Lahn), Nievern, Obernhof(Lahn)"
394,"Niederlahnstein, Wiesbaden-Biebrich","Assmannshausen, Braubach, Eltville, Erbach(Rheingau), Filsen, Geisenheim, Hattenheim, Kamp-Bornhofen, Kaub, Kestert, Lorch(Rhein), Lorchhausen,
Niederwalluf, Oberlahnstein, Oestrich-Winkel, Osterspai, Rüdesheim(Rhein), St Goarshausen, Wiesbaden-Schierst."
395,"Neubrandenburg, Priemerburg, Rostock Hbf,
Waren(Müritz)","Kavelstorf, Kleeth, Kronskamp, Laage(Meckl), Lalendorf, Langhagen, Malchin, Mölln(Meckl), Neu Wokern, Plaaz, Reuterst Stavenhagen, Scharstorf, Subzin-
Liessow, Teterow"
396,"Hesepe, Oldenburg(Oldb)Hbf","Ahlhorn, Alfhausen, Bersenbrück, Cloppenburg, Essen(Oldb), Großenkneten, Huntlosen, Quakenbrück, Sandkrug"
397,"Eichenberg, Göttingen",Friedland(Han)
398,"Jena Saalbf, Naumburg(Saale)Hbf, Weimar","Apolda, Bad Kösen, Bad Sulza, Camburg(Saale), Dornburg(Saale), Großheringen, Jena-Zwätzen, Niedertrebra, Oßmannstedt, Porstendorf"
399,"Aulendorf, Herbertingen, Horb, Reutlingen Hbf,
Sigmaringen, Tübingen Hbf, Tuttlingen, Ulm Hbf","Albstadt-Ebingen, Albstadt-EbingenWest, Albstadt-Laufen Ort, Albstadt-Lautlingen, Allmendingen, Bad Imnau, Bad Niedernau, Bad Schussenried, Bad
Sebastiansw-Bels, Balingen(Württ), Balingen Süd, Beuron, Biberach(Riß), Biberach(Riß) Süd, Bieringen, Bisingen, Blaubeuren, Blaustein, Bodelshausen,
Burgrieden, Burladingen, Burladingen West, Dußlingen, Ehingen(Donau), Einsingen, Engstingen, Engstingen Schulzen., Engstlatt, Erbach(Württ), Essendorf,
Eyach, Fridingen(b Tuttl), Frommern, Gammertingen, Gammertingen Eurost., Gauselfingen, Gerhausen, Gomadingen, Haidkapelle, Haigerloch, Hanfertal,
Hausen i Tal, Hausen-Starzeln, Hechingen, Hermentingen, Herrlingen, Hettingen(Hohenz), Hochdorf(Riß), Hütten, Inzigkofen, Jungingen(Hohenz), Jungnau,
Kiebingen, Killer, Kohlstetten, Laupheim Stadt, Laupheim West, Mägerkingen, Marbach(b Münsing.), Marbach-Grafeneck, Mössingen, Mühlen(b Horb),
Mühlheim(b Tuttl), Mühringen, Munderkingen, Münsingen, Nehren, Nendingen(b Tuttl), Neufra(Hohenz), Offenhausen, Orsenhausen-Bußm., Rangendingen,
Rechtenstein, Riedlingen, Rot(b Laupheim), Rottenacker, Rottenburg(Neckar), Schelklingen, Schemmerberg, Schlatt(Hohenz), Schmiechen, Schwendi,
Sondernach, Stetten(Donau), Stetten(Haigerloch), Storzingen, Straßberg-Winterl., Thiergarten(Hohenz), Trochtelfingen, Trochtelfingen Alb, Tübingen-
Derending., Tuttlingen Nord, Tuttlingen Zentrum, Ulm-Donautal, Ulm-Söflingen, Ummendorf, Veringendorf, Veringenstadt, Warthausen"
400,"Friedberg(Hess), Nidderau",Assenheim(Oberhess)
401,"Hanau Hbf, Nidderau","Bruchköbel, Hanau Nord, Ostheim(Kr Hanau)"
402,"Aalen Hbf, Schwäbisch Gmünd","Böbingen(Rems), Essingen(b Aalen), Mögglingen(Gmünd)"
403,"Herlasgrün, Zwickau(Sachs)Hbf","Auerbach(V) ob Bf, Auerbach(V) u. Bf, Auerbach(Vogtl) Hp, Ebersbrunn, Ellefeld, Falkenstein(Vogtl), Grünbach(Vogtl), Irfersgrün, Klingenthal,
Lengenfeld(Vogtl), Muldenberg-Floßpl., Rodewisch, Schöneck(Vogtl), Schöneck Ferienpark, Stenn, Treuen, Voigtsgrün, Zwota, Zwota-Zechenbach, Zwotental"
404,"Crailsheim, Schwäb.Hall-Hessent",Eckartshausen-Ilsh.
405,"Baunatal-Guntershaus, Kassel-Wilhelmshöhe","Baunatal-Rengershaus, Kassel-Oberzwehren"
406,"Donauwörth, Treuchtlingen",Otting-Weilheim
407,"Furth im Wald(Gr), Schwandorf","Altenschwand, Arnschwang, Arrach, Bad Kötzting, Balbersdorf, Blaibach(Oberpf), Bodenwöhr Nord, Cham(Oberpf), Chamerau, Frahelsbruck, Furth im Wald,
Geigant, Grafenwiesen, Grub(Oberpf), Hohenwarth, Hohenwarth Campingpl, Kothmaißling, Lam, Miltach, Neubäu, Pösing, Roding, Waffenbrunn,
Waldmünchen, Watzelsteg, Weiding, Willmering, Zellerthal, Zillendorf"
408,Mellrichstadt Bf,"Fladungen, Nordheim v Rhön, Ostheim v Rhön, Stockheim(Unterfr)"
409,"Günzburg, Memmingen, Ulm Hbf","Altenstadt(Iller), Bellenberg, Burlafingen, Fellheim, Finningerstraße, Gerlenhofen, Heimertingen, Illertissen, Kellmünz, Leipheim, Nersingen, Neu-Ulm,
Pleß(Iller), Senden, Unterfahlheim, Vöhringen, Weißenhorn, Weißenhorn-Eschach, Witzighausen, Wullenstetten"
410,"Chemnitz Hbf, Narsdorf","Burgstädt, Chemnitz-Borna, Chemnitz Küchwald, Wittgensdorf Mitte, Wittgensdorf ob Bf"
412,"Kempten(Allgäu)Hbf, Kißlegg, Lindau-Insel,
Lindau-Reutin","Altstädten(Allgäu), Blaichach(Allgäu), Bühl(Alpsee), Fischen, Harbatshofen, Heimenkirch, Hergatz, Hergensweiler, Immenstadt, Langenwang(Schwab),
Lindenberg(Allgäu), Martinszell(Allgäu), Oberstaufen, Oberstdorf, Ratholz, Röthenbach(Allgäu), Scheidegg, Seifen(Schwab), Sonthofen, Thalkirchdorf,
Waltenhofen, Wangen(Allgäu), Weiler(Allgäu)"
413,"Augsburg Hbf, Buchloe, Donauwörth, Günzburg,
Memmingen","Aletshausen, Augsburg-Oberhausen, Bad Wörishofen, Bäumenheim, Billenhausen, Breitenbrunn(Schwab), Burgau(Schwab), Diedorf(Schwab),
Dinkelscherben, Ellzee, Ettringen, Fischach(Schwab), Freihalden, Gablingen, Gersthofen, Gessertshausen, Gumpenweiler, Haupeltshofen, Hausen(Schwab),
Herbertshofen, Hirschfelden, Hochwang, Ichenhausen, Jettingen, Kleinkötz, Krumbach(Schw)Schule, Krumbach(Schwab), Kutzenhausen, Langenneufnach,
Langweid(Lech), Loppenhausen, Margertshausen, Markt Wald, Meitingen, Mertingen Bahnhof, Mindelaltheim, Mindelheim, Mittelneufnach, Nassenbeuren,
Neuburg(Kammel), Neusäß, Niederraunau, Nordendorf, Oberneufnach, Offingen, Pfaffenhausen, Rammingen(Bay), Reichertshofen(Schw),
Sontheim(Schwab), Stetten(Schwab), Türkheim(Bay)Bf, Türkheim(Bay)Markt, Unterrammingen, Walkertshofen, Wasserburg(Günz), Weilbach(Unterallg),
Westendorf, Westheim(Schwab), Wiedergeltingen, Wollmetshofen"
414,"Groß Gerau, Mainz-Bischofsheim",Nauheim(b Gr.Gerau)
415,"Donauwörth, Ingolstadt Hbf","Burgheim, Genderkingen, Neuburg(Donau), Rain, Rohrenfeld, Straß-Moos, Unterhausen(Bay), Weichering"
416,Oldenburg(Oldb)Hbf,"Burhafe(Ostfriesl), Esens(Ostfriesl), Jaderberg, Jever, Rastede, Sande, Sanderbusch, Schortens-Heidmü, Varel(Oldb), Wilhelmshaven, Wittmund"
418,"Neukirchen(b Sulzb), Schwandorf,
Weiden(Oberpf)","Altendorf(b Nabburg), Amberg, Freihöls, Irrenlohe, Königstein(Oberpf), Lind(Oberpf), Luhe, Luhe-Wildenau, Luitpoldhütte, Nabburg, Niedermurach,
Oberviechtach, Pertolzhofen, Pfreimd, Schönsee(Oberpf), Schwarzach(b Nabb), Schwarzenfeld(Opf), Schwarzhofen, Sulzbach-Rosenberg, Sulzbach-
Rosenberg H, Wernberg"
419,"Kreiensen, Seesen","Bad Gandersheim, Harriehausen, Ildehausen"
420,"Altenbeken, Lage(Lippe)","Detmold, Horn-Bad Meinberg, Leopoldstal, Steinheim-Sandebeck"
421,"Bayreuth Hbf, Kirchenlaibach","Seybothenreuth, Stockau"
422,"Ludwigshafen(Rh)Hbf, Schifferstadt","Limburgerhof, Ludwigshafen-Mundenh, Ludwigshafen-Rheing."
423,Bayreuth Hbf,"Hollfeld, Mistelbach(Oberfr), Mistelgau, Obernsees, Pittersdorf, Plankenfels, Wadendorf"
424,"Babenhausen(Hess), Hanau Hbf","Hainburg Hainstadt, Hanau Klein-Auheim, Mainhausen Zellhaus., Seligenstadt(Hess)"
425,Bayreuth Hbf,"Bayreuth-St Georgen, Döhlau, Friedrichsthal(Bayr), Görschnitz, Laineck, Mengersreuth, Sophienthal, Untersteinach(Bayr), Warmensteinach, Weidenberg,
Zainhammer"
426,"Dresden Hbf, Freiberg(Sachs)","Dresden-Plauen, Edle Krone, Freital-Deuben, Freital-Hainsberg, Freital-Hainsberg W, Freital-Potschappel, Klingenberg-Colmnitz, Muldenhütten,
Niederbobritzsch, Tharandt"
427,"Göppingen, Ulm Hbf","Amstetten(Württ), Beimerstetten, Eislingen(Fils), Geislingen(Steige), Geislingen(Steige)W, Gerstetten, Gingen(Fils), Gussenstadt, Kuchen, Lonsee, Salach,
Schalkstetten, Stubersheim, Süßen, Urspring, Waldhausen(b Geisl.), Westerstetten"
428,"Bruchsal, Heidelberg Hbf","Bad Schönborn-Kron., Bad Schönborn Süd, Heidelb.K/Rohrbach, Rot-Malsch, Stettfeld-Weiher, St Ilgen-Sandhausen, Ubstadt-Weiher, Wiesloch-Walldorf"
430,"Aulendorf, Kißlegg, Memmingen","Aichstetten, Alttann, Bad Waldsee, Bad Wurzach, Leutkirch, Marstetten-Aitrach, Roßberg, Tannheim(Württ), Wolfegg"
431,"Emden Hbf, Norden",Marienhafe
432,"Chemnitz Hbf, St Egidien","Chemnitz Mitte, Chemnitz-Schönau, Chemnitz-Siegmar, Chemnitz Süd, Grüna(Sachs)Hp, Hohenstein-Ernstthal, Wüstenbrand"
433,"Delitzsch, Eilenburg, Halle(Saale)Hbf, Leipzig
Hbf, Leipzig-Leutzsch","Dieskau, Gröbers, Großkugel, Halle Messe, Jesewitz(Leipzig), Leipzig/Halle Flugh, Leipzig Coppiplatz, Leipzig Essener Str., Leipzig-Gohlis, Leipzig-Heiterblick,
Leipzig-Lützschena, Leipzig Messe, Leipzig Mockauer Str, Leipzig-Möckern, Leipzig Nord, Leipzig Olbrichtstr., Leipzig Slevogtstr., Leipzig-Thekla, Leipzig-
Wahren, Pönitz(Leipzig), Rackwitz(Leipzig), Schkeuditz, Schkeuditz West, Taucha(Leipzig), Zschortau"
434,"Chemnitz Hbf, Flöha","Braunsdorf-Lichtenw, Chemnitz-Hilbersd, Dittersbach, Frankenberg(Sachs), Frankenberg Süd, Hainichen, Niederwiesa"
435,"Bretten, Bruchsal","Bruchsal Schlachthof, Bruchsal Tunnelstr., Diedelsheim, Gondelsheim(Baden), Gondelsheim Schloss., Heidelsheim, Heidelsheim Nord, Helmsheim"
436,"Bad Hersfeld, Fulda","Burghaun(Hünfeld), Haunetal-Neukirchen, Hünfeld"
437,"Bad Kreuznach, Kaiserslautern Hbf,
Neustadt(Weinstr)Hbf, Türkismühle","Alsenz, Altenbamberg, Bad Münster a Stein, Bad Sobernheim, Enkenbach, Fischbach-Weierbach, Frankenstein(Pfalz), Heimbach(Nahe), Hochspeyer,
Hochstätten(Pfalz), Hochstetten(Nahe), Hoppstädten(Nahe), Idar-Oberstein, Imsweiler, Kirn, Kirnsulzbach, Kronweiler, Lambrecht(Pfalz), Martinstein,
Monzingen, Münchweiler(Alsenz), Neidenfels, Neubrücke(Nahe), Nohen, Nohfelden, Norheim, Rockenhausen, Staudernheim, Weidenthal, Winnweiler"
438,"Hamburg-Harburg, Hamburg Hbf","Hamburg Elbbrücken, Hamburg-Hammerbrook, Hamburg-Veddel, Hamburg-Wilhelmsburg"
439,"Hamburg Hbf, Hamburg-Sternschanze",Hamburg Dammtor
441,Zittau,Zittau(Gr)
442,"Görlitz, Löbau(Sachs)","Gersdorf(Görlitz), Görlitz-Rauschwalde, Reichenbach(Ol), Zoblitz"
443,"Bonn Hbf, Euskirchen","Alfter-Impekoven, Alfter-Witterschlick, Bonn-Duisdorf, Bonn-Endenich Nord, Bonn Helmholtzstr., Euskirchen-Kuchenhe., Meckenheim(Bz Köln), Meckenheim
Ind.Park, Meckenheim Kottenfo., Rheinbach, Rheinbach Römer., Swisttal-Odendorf"
444,"Bensheim, Mannheim Hbf, Riedstadt-Goddelau,
Worms Hbf","Biblis, Biebesheim, Bobstadt, Bürstadt, Gernsheim, Groß Rohrheim, Hofheim (Ried), Lampertheim, Lorsch, Mannheim Handelshaf, Mannheim-Käfertal,
Mannheim-Luzenberg, Mannheim-Neckarstadt, Mannheim-Waldhof, Riedrode, Stockstadt(Rhein), Worms Brücke"
445,"Bensheim, Darmstadt Hbf","Bensheim-Auerbach, Bickenbach(Bergstr), Darmstadt-Eberstadt, Darmstadt Süd, Hähnlein-Alsbach, Pfungstadt, Zwingenberg(Bergstr)"
446,"Calau(Nl), Cottbus Hbf",Kolkwitz Süd
447,"Cottbus Hbf, Görlitz, Hosena","Bagenz, Hähnichen, Horka, Hoyerswerda, Hoyerswerda-Neustadt, Klitten, Kodersdorf, Lauta(Nl), Lohsa, Mücka, Neuhausen(Cottbus), Niesky, Petershain,
Rietschen, Schleife, Schwarzkollm, Spremberg, Uhsmannsdorf, Uhyst, Weißwasser(Ol)"
448,"Calau(Nl), Cottbus Hbf, Doberlug-Kirchhain,
Senftenberg, Zossen","Altdöbern, Bahnsdorf, Baruth(Mark), Drahnsdorf, Drebkau, Finsterwalde(Nl), Gollmitz(Nl), Golßen(Nl), Großräschen, Klasdorf Glashütte, Leuthen(Cottbus),
Luckaitztal, Luckau-Uckro, Neuhof(b Zossen), Neupetershain, Sedlitz Ost, Walddrehna, Wünsdorf-Waldstadt"
449,"Cottbus Hbf, Forst(Lausitz), Frankfurt(Oder)","Coschen, Cottbus-Merzdorf, Cottbus-Sandow, Cottbus-Willmersd N, Eisenhüttenstadt, Finkenheerd, Guben, Gubin(Gr), Jänschwalde, Jänschwalde Ost,
Kerkwitz, Klinge, Kraftw. Finkenheerd, Neuzelle, Peitz Ost, Teichland, Wellmitz, Wiesenau, Ziltendorf"
450,"Euskirchen, Gerolstein","Blankenheim(Wald), Dahlem(Eifel), Jünkerath, Kall, Lissendorf, Mechernich, Nettersheim, Oberbettingen-Hilles, Satzvey, Scheven, Schmidtheim, Urft"
451,"Heidelberg Hbf, Neckargemünd","Heidelb.Orthopädie, Heidelb.Sch/Z.hausen, Heidelb.-W/S.stadt, Heidelberg-Altstadt"
452,Görlitz,Zgorzelec(Gr)
453,Ludwigshafen(Rh)Hbf,Ludwigshafen BASF S
454,"Könnern, Sandersleben(Anh)",Belleben
455,"Aschaffenburg Hbf, Hanau Hbf","Alzenau(Unterfr), Alzenau Burg, Alzenau Nord, Blankenbach, Dettingen(Main), Großauheim(Kr Hu), Großkrotzenburg, Kahl(Main), Kahl Kopp/Heide,
Kälberau, Kleinostheim, Königshofen(Kahl), Michelbach(Unterfr), Michelbach Herrnm, Mömbris-Mensenges, Niedersteinbach, Rückersbacher Schl.,
Schimborn, Schöllkrippen, Strötzbach"
456,"Aschaffenburg Hbf, Babenhausen(Hess)","Mainaschaff, Stockstadt(Main)"
457,"Gelnhausen, Hanau Hbf","Hailer-Meerholz, Langenselbold, Niedermittlau, Rodenbach(b Hanau), Wolfgang(Kr Hanau)"
458,"Münster(Westf)Hbf, Osnabrück Hbf","Hasbergen, Kattenvenne, Lengerich(Westf), Natrup-Hagen, Ostbevern, Westbevern"
459,"Münster(Westf)Hbf, Rheine, Steinfurt-Burgstein.","Altenberge, Emsdetten, Greven, Münster(W)Zentrum N, Münster-Häger, Münster-Sprakel, Nordwalde, Reckenfeld, Rheine-Mesum, Steinfurt-Borghorst,
Steinfurt-Grottenk"
460,"Lünen Hbf, Münster(Westf)Hbf","Ascheberg(Westf), Capelle(Westf), Davensberg, Münster-Amelsbüren, Werne a d Lippe"
461,München Hbf,Bad Füssing
462,"Halle(Saale)Hbf, Könnern","Domnitz(Saalkr), Halle Dessauer Br, Halle Steintorbr, Halle-Trotha, Halle Wohnstadt Nord, Halle Zoo, Nauendorf(Saalkr), Teicha, Wallwitz(Saalkr)"
463,"Münster(Westf)Hbf, Rheda-Wiedenbrück","Beelen, Clarholz, Herzebrock, Telgte, Warendorf, Warendorf-Einen-Müs"
464,"Dülmen, Münster(Westf)Hbf","Buldern, Münster-Albachten, Nottuln-Appelhülsen, Senden-Bösensell"
465,"Mosbach-Neckarelz, Seckach","Auerbach(b Mosbach), Dallau, Eicholzheim, Mosbach(Baden), Mosbach West, Neckarburken, Oberschefflenz"
466,"Bruchsal, Graben-Neudorf","Bruchsal Am Mantel, Bruchsal Sportzentr., Karlsdorf"
467,Euskirchen,"Bad Münsterei.-Arl., Bad Münsterei.-Ive., Bad Münstereifel, Euskirchen-Kreuzwei., Euskirchen-Stotzheim, Euskirchen Zuckerfa."
468,"Lauda, Wertheim","Distelhausen, Dittigheim, Gamburg(Tauber), Hochhausen(Tauber), Kloster Bronnbach, Niklashausen, Reicholzheim, Tauberbischofsheim"
469,"Osterburken, Seckach","Adelsheim Nord, Zimmern(b Seckach)"
470,"Eutingen im Gäu, Renningen, Stuttgart Hbf,
Tübingen Hbf","Altingen(Württ), Böblingen, Bondorf(b Herrenb), Echterdingen, Ehningen(b Böbl), Entringen, Ergenzingen, Filderstadt, Gärtringen, Gäufelden,
Goldberg(Württ), Gültstein, Herrenberg, Herrenberg Zwerchweg, Hulb, Leinfelden, Magstadt, Maichingen, Maichingen Nord, Nufringen, Oberaichen,
Pfäffingen, Renningen Süd, Sindelfingen, Stuttgart Feuersee, Stuttgart Flugh/Mess, Stuttgart-Österfeld, Stuttgart-Rohr, Stuttgart Schwabstr., Stuttgart
Stadtmitte, Stuttgart Uni, Stuttgart-Vaihingen, Tübingen West, Unterjesingen Mitte, Unterjesingen Sand."
471,"Bonn Hbf, Euskirchen, Köln Hbf","Brühl, Brühl-Kierberg, Erftstadt, Euskirchen-Großbül, Hürth-Kalscheuren, Köln Süd, Köln West, Roisdorf, Sechtem, Weilerswist, Weilerswist-Derkum"
472,Düren,"Düren Im GroßenTal, Huchem-Stammeln, Jülich, Jülich An den Aspen, Jülich-Broich, Jülich-Forschungsz., Jülich-Nord, Jülich-Selgersdorf, Krauthausen, Linnich
Bhf, Linnich-Tetz, Selhausen"
473,"Passau Hbf, Plattling","Aidenbach, Girching, Langenisarhofen, Ortenburg(Niederbay), Osterhofen(Nby), Pleinting, Sandbach(Niederbay), Schalding, Seestetten,
Vilshofen(Niederbay)"
475,Bamberg,"Burgebrach, Ebrach"
476,"Eichenberg, Kassel-Wilhelmshöhe, Korbach Hbf,
Warburg(Westf)","Ahnatal-Casselbreite, Ahnatal-Heckersh., Ahnatal-Weimar, Altenhasungen, Bad Arolsen, Eberschütz, Ehringen, Espenau-Mönchehof, Fuldatal-Ihringshau.,
Fürstenwald, Gertenbach, Grebenstein, Hann Münden, Haueda, Hedemünden, Hofgeismar, Hofgeismar-Hümme, Immenhausen, Kassel-Harleshausen, Kassel
Hbf, Kassel-Jungfernkopf, Kassel-Kirchditmold, Külte-Wetterburg, Lamerden, Laubach(Werra), Liebenau(Bz Kassel), Mengeringhausen, Oberelsungen,
Speele, Twiste, Vellmar-Niedervellm., Vellmar-Obervellmar, Vellmar-OsterbergEKZ, Volkmarsen, Witzenhausen Nord, Wolfhagen, Zierenberg, Zierenberg-
Rosental"
477,"Altenburg, Glauchau(Sachs), Ronneburg(Thür),
Werdau, Zwickau(Sachs)Hbf","Crimmitschau, Glauchau-Schönbörn, Gößnitz, Lehndorf(Altenburg), Meerane, Mosel, Nöbdenitz, Oberrothenbach, Ponitz, Schmölln(Thür), Schweinsburg-
Culten, Werdau Nord, Zwickau-Pölbitz"
478,"Döbeln Hbf, Riesa","Ostrau, Seerhausen, Stauchitz, Zschaitz"
479,Coswig(b Dresden),"Meißen, Meißen Altstadt, Meißen Triebischtal, Neusörnewitz"
480,"Gutenfürst, Mehltheuer","Grobau, Reuth(Plauen), Schönberg(Vogtl)"
