Region,ASTe,NASTe
63,"Erlangen, Fürth(Bay)Hbf","Eltersdorf, Er. Paul-Gossen-Str., Erlangen-Bruck, Fürth-Klinikum, Vach"
65,Düren,"Abenden, Blens, Düren-Annakirmespl., Düren-Kuhbrücke, Düren-Lendersdorf, Düren Renkerstraße, Hausen (b Düren), Heimbach (Eifel), Kreuzau Bahnhof,
Kreuzau-Eifelstraße, Nideggen-Brück, Niederau-Tuchmühle, Obermaubach, Üdingen, Untermaubach-Schlag, Zerkall"
66,"Bonn Hbf, Remagen","Bonn-Bad Godesberg, Bonn-Mehlem, Bonn UN Campus, Oberwinter, Rolandseck"
67,"Bad Langensalza, Gotha","Ballstädt(Gotha), Bufleben, Eckardtsleben, Gotha Ost"
68,"Salzwedel, Stendal Hbf","Brunau-Packebusch, Fleetmark, Hohenwulsch, Kläden(Stendal), Pretzier(Altm), Steinfeld(Stendal)"
69,"Bad Nenndorf, Hameln, Hannover Hbf,
Hildesheim Hbf, Nordstemmen","Bad Münder(Deister), Bantorf, Barnten, Barsinghausen, Bennigsen, Egestorf(Deister), Emmerke, Empelde, Hannover Bismarckstr, Hannover-Bornum,
Hannover-Linden/Fi., HannoverMesseLaatzen, Holtensen/Linderte, Kirchdorf(Deister), Lemmie, Rethen(Leine), Ronnenberg, Sarstedt, Springe,
Völksen/Eldagsen, Weetzen, Wennigsen(Deister), Winninghausen"
70,"Nienburg(Weser), Wunstorf","Eilvese, Hagen(Han), Linsburg, Neustadt a Rübenbge, Poggenhagen"
71,"Mainz-Bischofsheim, Mainz Hbf, Worms Hbf","Alsheim, Bodenheim, Dienheim, Guntersblum, Mainz-Gustavsburg, Mainz-Laubenheim, Mainz Röm.Theater, Mettenheim, Nackenheim, Nierstein,
Oppenheim, Osthofen"
72,"Bünde(Westf), Osnabrück Hbf","Bruchmühlen, Melle, Westerhausen, Wissingen"
73,"Bünde(Westf), Herford, Löhne(Westf)","Hiddenh.-Schweicheln, Kirchlengern"
74,"Bensheim, Graben-Neudorf, Heidelberg Hbf,
Mannheim Hbf","Birkenau, Fürth(Odenw), Grasellenbach, Heddesheim/Hirschb., Heidelb.P/Wieblingen, Hemsbach, Heppenheim(Bergstr), Hockenheim, Ladenburg,
Laudenbach(Bergstr), Lörzenbach-Fahrenb., Mannheim ARENA/Maim., Mannheim-Friedrich.S, Mannheim-Neckarau, Mannheim-Rheinau, Mannheim-
Seckenheim, Mörlenbach, Neu-Edingen/Fried., Neulußheim, Oftersheim, Reisen(Hess), Rimbach, Schwetzingen, Schwetzingen-Hirsch., Waghäusel, Wahlen,
Waldmichelbach, Weinheim(Bergstr)Hbf, Weinheim-Lützels., Weinheim-Sulzbach, Wiesental, Zotzenbach"
75,"Hameln, Löhne(Westf)","Bad Oeynhausen Süd, Hessisch Oldendorf, Rinteln, Vlotho"
76,"Elze(Han), Hameln","Coppenbrügge, Marienau, Osterwald"
77,"Braunschweig Hbf, Gifhorn","Braunschweig-Gliesm., Meine, Rötgesbüttel"
79,"Garmisch-Partenk., Kempten(Allgäu)Hbf","Bad Kreckelmoos, Bichlb. Almkopfbahn, Bichlbach-Berwang, Bodelsberg, Durach, Ehrwald Zugspitzbahn, Garmisch-P.Hausberg, Griesen(Oberbay),
Heiterwang-Plansee, Lähn, Lermoos, Maria Rain, Musau, Nesselwang, Oy-Mittelberg, Pflach, Pfronten-Kappel, Pfronten-Ried, Pfronten-Steinach, Pfronten-
Weißbach, Reutte(Tirol), Reutte(Tirol)Schulz., Schönbichl, St Mang, Sulzberg, Ulrichsbrücke-Füss, Untergrainau, Vils, Wertach-Haslach, Zollhaus-Petersthal"
80,"Aulendorf, Friedrichshafen St.","Friedrichshafen Flug, Kehlen, Löwental, Meckenbeuren, Mochenwangen, Niederbiegen, Oberzell, Ravensburg, Weingarten Berg, Weißenau"
81,"Hildesheim Hbf, Lehrte","Algermissen, Harsum, Sehnde"
82,Steinach(b Rothenb),"Hartershofen, Rothenburg o d Taub., Schweinsdorf"
83,"Celle, Lehrte","Aligse, Burgdorf, Ehlershausen, Otze"
84,"Braunschweig Hbf, Hildesheim Hbf","Hoheneggelsen, Lengede-Broistedt, Woltwiesche"
85,Lage(Lippe),"Hörstmar(Lippe), Lemgo, Lemgo-Lüttfeld"
86,Neuss Hbf,"Kaarster Bahnhof, Kaarster See, Kaarst IKEA, Kaarst Mitte/Holzb."
87,"Gifhorn, Lehrte","Dedenhausen, Dollbergen, Immensen-Arpke, Leiferde(b Gifhorn), Meinersen"
88,"Bingen(Rhein) Hbf, Gensingen-Horrweiler, Mainz
Hbf","Bingen(Rhein) Stadt, Bingen-Gaulsheim, Budenheim, Gau Algesheim, Heidesheim(Rheinh), Ingelheim, Mainz-Mombach, Ockenheim, Uhlerborn"
89,"Braunschweig Hbf, Lehrte","Hämelerwald, Peine, Vechelde, Vöhrum"
90,"Düsseldorf Hbf, Hagen Hbf, Köln Hbf, Solingen
Hbf, Troisdorf","Bergisch Gladbach, Brügge(Westf), Dahl, Dahlerbrück, Duckterath, Düsseldorf-Benrath, Düsseldorf-Eller, Düsseldorf-Eller M, Düsseldorf-Eller S, Düsseldorf-
Garath, Düsseldorf-Hellerh., Düsseldorf-Oberbilk, Düsseldorf-Reisholz, Düsseldorf Volksg., Engelskirchen, Gummersbach, Gummersbach-Dieringh, Hagen-
Oberhagen, Halver-Oberbrügge, Hilden, Hilden Süd, Hoffnungsthal, Honrath, Kierspe, Köln/Bonn Flughafen, Köln Airport-Busin., Köln-Buchforst, Köln-
Dellbrück, Köln Frankfurter St, Köln-Holweide, Köln Messe/Deutz, Köln-Mülheim, Köln-Stammheim, Köln Steinstraße, Köln Trimbornstr, Langenfeld(Rhld),
Langenfeld(Rhld)-B., Leichlingen, Leverkusen Chempark, Leverkusen-Küpper., Leverkusen-Manfort, Leverkusen Mitte, Leverkusen-Rheindorf, Lüdenscheid,
Marienheide, Meinerzhagen, Opladen, Overath, Porz(Rhein), Porz-Wahn, Rösrath, Rösrath-Stümpen, Rummenohl, Ründeroth, Schalksmühle, Solingen
Vogelpark, Spich"
91,"München-Pasing, Weilheim(Oberbay)","Benediktbeuern, Bernried, Bichl, Diemendorf, Feldafing, Gauting, Geisenbrunn, Germering-Unterpfaff, Gilching-Argelsried, Gräfelfing, Harthaus, Herrsching,
Iffeldorf, Kochel, Lochham, München-Freiham, München-Neuaubing, München-Westkreuz, Neugilching, Penzberg, Planegg, Possenhofen, Seefeld-
Hechendorf, Seeshaupt, Starnberg, Starnberg Nord, Steinebach, Stockdorf, Tutzing, Weßling(Oberbay), Wilzhofen"
